Subj	d'
s1295	0.321797192015782
s1859	1.02173967376712
s1875	0.275829674073445
s1949	1.07072555053198
s2439	0.0980533401692738
s2575	0.314306547707718
s3013	0.169207984173294
s3018	-0.0802042029292
s3023	0.743679791325252
s3031	0.406328078950102
s3042	0.861579443477678
s3043	0.432015073574589
s3046	0.0108740571549535
s3075	0.17951667510901
s3223	0.0746643076222002
s3425	0.13516391237522
s3710	0.582919131953328
s3711	0.103141004663901
s3712	0.749843927298367
s3735	0.484397994127695
s3746	0.965141128365569
s3761	0.373560237087073
s3762	0.493215034555066
s3763	0.776590526397706
s3767	0.38051698132892
s3768	0.668624787049718
s3775	0.491459152052647
s3778	0.36933468260815
s3783	0.491459152052647
s3786	0.321797192015782
s3816	0.455335599584706
s3849	0.213502712056369
s3850	0.791382983611639
s3851	0.436519368654594
s3852	0.641716643430363
