Subj	d'
s1295	0.366508081345006
s1859	1.15130997862662
s1875	0.401187011309182
s1949	1.49934284776274
s2439	-0.237035886989677
s2575	0.268305370706304
s3013	0.48955976565469
s3018	0.447115254954152
s3023	0.643686612765394
s3031	0.665606524345437
s3042	0.837715561765526
s3043	0.624549191915429
s3046	0.63309212595182
s3075	0.436139942880876
s3223	0.288138122211848
s3425	0.408361602053816
s3710	0.455438512221518
s3711	0.775670328037709
s3712	0.693776274314002
s3735	0.55821486526764
s3746	0.890824229889335
s3761	0.882877239414133
s3762	1.17347458000973
s3763	0.872626934700155
s3767	0.495994739095981
s3768	0.900636140644352
s3775	0.999114650220593
s3778	0.233236409882573
s3783	1.24824605153802
s3786	0.319193269496502
s3816	0.942054954084384
s3849	0.87422543518367
s3850	1.01799539835378
s3851	0.437492197105928
s3852	0.47545192216958
