Stimulus	KeyPress	RT	Behavior	Conf	Image	VerySome
732a.jpg	4	1817	FA	4	732	V
340b.jpg	4	2103	Hit	1	340	V
51b.jpg	2	2160	FA	3	51	S
352b.jpg	3	2693	Hit	2	352	S
117a.jpg	4	2489	FA	4	117	V
63b.jpg	4	1387	Hit	1	63	V
1019b.jpg	3	2212	Hit	2	1019	S
453a.jpg	1	1916	Hit	1	453	V
616b.jpg	2	2235	FA	3	616	S
443a.jpg	1	1944	Hit	1	443	V
474a.jpg	4	2306	FA	4	474	V
17b.jpg	1	2869	FA	4	17	V
315a.jpg	1	1798	Hit	1	315	V
1148b.jpg	1	1156	FA	4	1148	V
1056b.jpg	3	3065	Hit	2	1056	S
123a.jpg	2	2948	Hit	2	123	S
427a.jpg	1	1709	Hit	1	427	V
378b.jpg	4	2207	Hit	1	378	V
306a.jpg	1	2758	Hit	1	306	V
22b.jpg	4	2290	Hit	1	22	V
854b.jpg	2	2767	FA	3	854	S
540a.jpg	3	3405	FA	3	540	S
297a.jpg	1	1918	Hit	1	297	V
412a.jpg	1	1557	Hit	1	412	V
488a.jpg	4	2010	FA	4	488	V
464a.jpg	1	1654	Hit	1	464	V
32b.jpg	3	3164	Hit	2	32	S
441a.jpg	2	2435	Hit	2	441	S
373b.jpg	3	2968	Hit	2	373	S
546b.jpg	1	1829	FA	4	546	V
388b.jpg	4	2111	Hit	1	388	V
592b.jpg	3	3156	Hit	2	592	S
1088b.jpg	1	1692	FA	4	1088	V
514a.jpg	1	1759	Hit	1	514	V
35b.jpg	3	2901	Hit	2	35	S
551b.jpg	4	1331	Hit	1	551	V
844b.jpg	1	1256	FA	4	844	V
20b.jpg	2	2900	FA	3	20	S
834b.jpg	1	1512	FA	4	834	V
860b.jpg	4	2883	Hit	1	860	V
713a.jpg	3	4166	FA	3	713	S
845b.jpg	2	2493	FA	3	845	S
439a.jpg	1	2951	Hit	1	439	V
319a.jpg	1	2091	Hit	1	319	V
867b.jpg	1	2134	FA	4	867	V
112a.jpg	1	1607	Hit	1	112	V
324a.jpg	1	1463	Hit	1	324	V
53b.jpg	4	2180	Hit	1	53	V
375b.jpg	4	1388	Hit	1	375	V
520a.jpg	4	1661	FA	4	520	V
535a.jpg	4	1342	FA	4	535	V
757a.jpg	1	3251	Hit	1	757	V
814a.jpg	1	2364	Hit	1	814	V
550b.jpg	4	2103	Hit	1	550	V
83a.jpg	3	3114	FA	3	83	S
1000b.jpg	1	3062	FA	4	1000	V
452a.jpg	1	1184	Hit	1	452	V
401a.jpg	1	2337	Hit	1	401	V
417a.jpg	1	2639	Hit	1	417	V
549b.jpg	1	1706	FA	4	549	V
349b.jpg	4	1609	Hit	1	349	V
849b.jpg	4	2315	Hit	1	849	V
499a.jpg	4	3707	FA	4	499	V
339b.jpg	NR	0	NR	NR	339	NR
692a.jpg	1	1125	Hit	1	692	V
847b.jpg	NR	0	NR	NR	847	NR
41b.jpg	4	1459	Hit	1	41	V
544a.jpg	4	2473	FA	4	544	V
518a.jpg	1	1737	Hit	1	518	V
29b.jpg	3	2038	Hit	2	29	S
838b.jpg	3	2680	Hit	2	838	S
851b.jpg	3	2589	Hit	2	851	S
588b.jpg	4	2906	Hit	1	588	V
9b.jpg	1	1481	FA	4	9	V
59b.jpg	4	3075	Hit	1	59	V
248a.jpg	1	1767	Hit	1	248	V
843b.jpg	4	3225	Hit	1	843	V
363b.jpg	4	2692	Hit	1	363	V
582b.jpg	1	2684	FA	4	582	V
764a.jpg	4	2545	FA	4	764	V
861b.jpg	4	2066	Hit	1	861	V
54b.jpg	4	1577	Hit	1	54	V
144a.jpg	1	1702	Hit	1	144	V
824a.jpg	3	2764	FA	3	824	S
786a.jpg	4	1272	FA	4	786	V
571b.jpg	3	3093	Hit	2	571	S
810a.jpg	4	2252	FA	4	810	V
454a.jpg	1	3138	Hit	1	454	V
526a.jpg	4	2059	FA	4	526	V
61b.jpg	4	2873	Hit	1	61	V
696a.jpg	4	2760	FA	4	696	V
596b.jpg	1	2910	FA	4	596	V
469a.jpg	4	1339	FA	4	469	V
496a.jpg	4	2370	FA	4	496	V
548b.jpg	1	2411	FA	4	548	V
681a.jpg	1	2304	Hit	1	681	V
521a.jpg	4	2317	FA	4	521	V
579b.jpg	1	1921	FA	4	579	V
679b.jpg	1	1853	FA	4	679	V
364b.jpg	NR	0	NR	NR	364	NR
576b.jpg	4	2251	Hit	1	576	V
563b.jpg	4	3205	Hit	1	563	V
293a.jpg	1	1967	Hit	1	293	V
431a.jpg	1	1621	Hit	1	431	V
494a.jpg	1	1345	Hit	1	494	V
830a.jpg	2	2384	Hit	2	830	S
632b.jpg	1	1110	FA	4	632	V
344b.jpg	3	2359	Hit	2	344	S
42b.jpg	1	2515	FA	4	42	V
856b.jpg	2	2516	FA	3	856	S
700a.jpg	3	3265	FA	3	700	S
366b.jpg	4	1219	Hit	1	366	V
331a.jpg	1	1576	Hit	1	331	V
386b.jpg	4	2317	Hit	1	386	V
166a.jpg	1	1661	Hit	1	166	V
70a.jpg	1	3967	Hit	1	70	V
1227b.jpg	4	2134	Hit	1	1227	V
387b.jpg	4	1692	Hit	1	387	V
292a.jpg	1	2213	Hit	1	292	V
467a.jpg	1	1511	Hit	1	467	V
545a.jpg	3	3473	FA	3	545	S
334b.jpg	NR	0	NR	NR	334	NR
482a.jpg	1	1911	Hit	1	482	V
684a.jpg	1	2547	Hit	1	684	V
369b.jpg	4	3061	Hit	1	369	V
833b.jpg	4	1410	Hit	1	833	V
406a.jpg	4	1038	FA	4	406	V
317a.jpg	2	2379	Hit	2	317	S
475a.jpg	1	1590	Hit	1	475	V
775a.jpg	1	2340	Hit	1	775	V
530a.jpg	1	3203	Hit	1	530	V
110a.jpg	1	1101	Hit	1	110	V
111a.jpg	1	1620	Hit	1	111	V
232a.jpg	1	1542	Hit	1	232	V
448a.jpg	1	2562	Hit	1	448	V
177a.jpg	1	1132	Hit	1	177	V
565b.jpg	1	2027	FA	4	565	V
797a.jpg	1	2013	Hit	1	797	V
663b.jpg	1	1441	FA	4	663	V
381b.jpg	1	2509	FA	4	381	V
418a.jpg	3	2202	FA	3	418	S
722a.jpg	3	1609	FA	3	722	S
81a.jpg	4	1726	FA	4	81	V
457a.jpg	1	1304	Hit	1	457	V
408a.jpg	1	949	Hit	1	408	V
812a.jpg	1	1757	Hit	1	812	V
391b.jpg	1	2007	FA	4	391	V
393b.jpg	4	1386	Hit	1	393	V
124a.jpg	1	2239	Hit	1	124	V
827a.jpg	4	1648	FA	4	827	V
49b.jpg	3	2270	Hit	2	49	S
342b.jpg	1	2799	FA	4	342	V
753a.jpg	2	2402	Hit	2	753	S
589b.jpg	1	1046	FA	4	589	V
68b.jpg	4	1666	Hit	1	68	V
606b.jpg	1	1865	FA	4	606	V
510a.jpg	4	894	FA	4	510	V
782a.jpg	1	1781	Hit	1	782	V
55b.jpg	4	1169	Hit	1	55	V
11b.jpg	2	3241	FA	3	11	S
356b.jpg	3	4160	Hit	2	356	S
490a.jpg	1	1952	Hit	1	490	V
654b.jpg	4	1390	Hit	1	654	V
501a.jpg	4	2432	FA	4	501	V
332a.jpg	3	2060	FA	3	332	S
23b.jpg	4	1768	Hit	1	23	V
605b.jpg	4	2883	Hit	1	605	V
380b.jpg	4	1414	Hit	1	380	V
437a.jpg	2	3128	Hit	2	437	S
527a.jpg	4	951	FA	4	527	V
661b.jpg	2	2104	FA	3	661	S
38b.jpg	3	2692	Hit	2	38	S
24b.jpg	4	1207	Hit	1	24	V
591b.jpg	1	1100	FA	4	591	V
710a.jpg	4	1692	FA	4	710	V
539a.jpg	4	1554	FA	4	539	V
837b.jpg	1	2776	FA	4	837	V
121a.jpg	1	1023	Hit	1	121	V
396b.jpg	4	3304	Hit	1	396	V
450a.jpg	1	3044	Hit	1	450	V
444a.jpg	1	1063	Hit	1	444	V
31b.jpg	3	2179	Hit	2	31	S
422a.jpg	3	2925	FA	3	422	S
502a.jpg	1	1382	Hit	1	502	V
1031b.jpg	1	1998	FA	4	1031	V
682a.jpg	NR	0	NR	NR	682	NR
620b.jpg	4	1218	Hit	1	620	V
15b.jpg	4	2055	Hit	1	15	V
725a.jpg	2	2203	Hit	2	725	S
458a.jpg	2	2070	Hit	2	458	S
541a.jpg	2	1566	Hit	2	541	S
336b.jpg	2	3212	FA	3	336	S
853b.jpg	4	2302	Hit	1	853	V
390b.jpg	4	2408	Hit	1	390	V
1004b.jpg	4	1297	Hit	1	1004	V
30b.jpg	3	2576	Hit	2	30	S
413a.jpg	1	1248	Hit	1	413	V
481a.jpg	1	2290	Hit	1	481	V
835b.jpg	1	1588	FA	4	835	V
729a.jpg	2	1759	Hit	2	729	S
