Stimulus	KeyPress	RT	Behavior	Conf	Image	VerySome
834b.jpg	1	90	FA-FA	4	834	V
1056b.jpg	3	86	FA-Hit	2	1056	S
123a.jpg	NR	136	Hit-NR	NR	123	NR
352b.jpg	4	143	Hit-Hit	1	352	V
844b.jpg	1	102	CR-FA	4	844	V
53b.jpg	4	37	Hit-Hit	1	53	V
375b.jpg	4	71	Hit-Hit	1	375	V
51b.jpg	3	76	Hit-Hit	2	51	S
488a.jpg	1	55	CR-Hit	1	488	V
319a.jpg	2	97	Hit-Hit	2	319	S
867b.jpg	2	112	FA-FA	3	867	S
443a.jpg	1	124	Miss-Hit	1	443	V
713a.jpg	3	85	NR-FA	3	713	S
551b.jpg	4	75	CR-Hit	1	551	V
388b.jpg	4	74	Hit-Hit	1	388	V
616b.jpg	3	67	CR-Hit	2	616	S
306a.jpg	1	78	Hit-Hit	1	306	V
845b.jpg	2	131	CR-FA	3	845	S
112a.jpg	3	173	Hit-FA	3	112	S
412a.jpg	1	177	Hit-Hit	1	412	V
732a.jpg	4	95	CR-FA	4	732	V
315a.jpg	1	80	Hit-Hit	1	315	V
1019b.jpg	3	119	CR-Hit	2	1019	S
20b.jpg	4	39	Hit-Hit	1	20	V
453a.jpg	1	92	Hit-Hit	1	453	V
117a.jpg	1	56	Hit-Hit	1	117	V
22b.jpg	2	161	Miss-FA	3	22	S
340b.jpg	4	47	Hit-Hit	1	340	V
63b.jpg	4	110	Hit-Hit	1	63	V
860b.jpg	4	120	FA-Hit	1	860	V
427a.jpg	1	79	Hit-Hit	1	427	V
441a.jpg	1	82	Hit-Hit	1	441	V
592b.jpg	1	54	CR-FA	4	592	V
439a.jpg	3	146	Hit-FA	3	439	S
17b.jpg	3	81	Miss-Hit	2	17	S
540a.jpg	1	145	CR-Hit	1	540	V
373b.jpg	3	120	Hit-Hit	2	373	S
1148b.jpg	3	29	FA-Hit	2	1148	S
520a.jpg	1	111	FA-Hit	1	520	V
324a.jpg	4	104	Hit-FA	4	324	V
378b.jpg	1	151	Hit-FA	4	378	V
854b.jpg	2	45	FA-FA	3	854	S
297a.jpg	1	49	Hit-Hit	1	297	V
35b.jpg	1	180	Hit-FA	4	35	V
546b.jpg	1	107	FA-FA	4	546	V
32b.jpg	3	162	Miss-Hit	2	32	S
514a.jpg	2	123	FA-Hit	2	514	S
474a.jpg	1	57	CR-Hit	1	474	V
464a.jpg	1	46	Hit-Hit	1	464	V
1088b.jpg	4	24	CR-Hit	1	1088	V
349b.jpg	4	31	Hit-Hit	1	349	V
454a.jpg	1	44	Hit-Hit	1	454	V
526a.jpg	1	68	CR-Hit	1	526	V
579b.jpg	1	48	NR-FA	4	579	V
786a.jpg	3	142	FA-FA	3	786	S
596b.jpg	3	88	FA-Hit	2	596	S
401a.jpg	1	70	Hit-Hit	1	401	V
1000b.jpg	4	49	CR-Hit	1	1000	V
496a.jpg	1	103	CR-Hit	1	496	V
518a.jpg	4	149	FA-FA	4	518	V
847b.jpg	3	190	CR-Hit	2	847	S
521a.jpg	3	122	CR-FA	3	521	S
679b.jpg	2	171	FA-FA	3	679	S
549b.jpg	3	175	CR-Hit	2	549	S
814a.jpg	1	154	CR-Hit	1	814	V
364b.jpg	3	109	Miss-Hit	2	364	S
550b.jpg	1	147	CR-FA	4	550	V
469a.jpg	3	166	Hit-FA	3	469	S
29b.jpg	2	94	Miss-FA	3	29	S
144a.jpg	2	185	Hit-Hit	2	144	S
339b.jpg	3	153	Miss-Hit	2	339	S
59b.jpg	4	114	Hit-Hit	1	59	V
248a.jpg	4	179	Miss-FA	4	248	V
696a.jpg	1	87	FA-Hit	1	696	V
363b.jpg	4	65	Miss-Hit	1	363	V
681a.jpg	3	188	CR-FA	3	681	S
9b.jpg	3	121	Hit-Hit	2	9	S
851b.jpg	4	183	FA-Hit	1	851	V
544a.jpg	2	125	FA-Hit	2	544	S
54b.jpg	4	95	Hit-Hit	1	54	V
582b.jpg	2	191	CR-FA	3	582	S
810a.jpg	1	3	CR-Hit	1	810	V
452a.jpg	1	149	Hit-Hit	1	452	V
838b.jpg	4	35	CR-Hit	1	838	V
757a.jpg	1	89	CR-Hit	1	757	V
692a.jpg	3	116	FA-FA	3	692	S
764a.jpg	2	64	FA-Hit	2	764	S
61b.jpg	3	8	Miss-Hit	2	61	S
571b.jpg	1	141	FA-FA	4	571	V
41b.jpg	3	166	Hit-Hit	2	41	S
83a.jpg	2	129	Hit-Hit	2	83	S
861b.jpg	4	139	FA-Hit	1	861	V
588b.jpg	NR	186	CR-NR	NR	588	NR
824a.jpg	1	170	CR-Hit	1	824	V
849b.jpg	4	2	CR-Hit	1	849	V
535a.jpg	4	28	FA-FA	4	535	V
548b.jpg	4	98	CR-Hit	1	548	V
843b.jpg	3	21	CR-Hit	2	843	S
499a.jpg	3	127	FA-FA	3	499	S
417a.jpg	1	51	Hit-Hit	1	417	V
344b.jpg	3	169	Hit-Hit	2	344	S
391b.jpg	3	105	Miss-Hit	2	391	S
632b.jpg	4	41	FA-Hit	1	632	V
124a.jpg	1	23	Hit-Hit	1	124	V
563b.jpg	2	157	FA-FA	3	563	S
482a.jpg	1	52	CR-Hit	1	482	V
797a.jpg	1	13	FA-Hit	1	797	V
70a.jpg	1	155	Hit-Hit	1	70	V
