Stimulus	KeyPress	RT	Behavior	Image	StimType
24	2	90	Miss-Hit	232	Targ
86	1	180	Hit-FA	448	Targ
27	1	145	Hit-FA	24	Targ
99	1	144	FA-Hit	482	Lure
113	1	26	FA-Hit	521	Lure
101	1	136	FA-Hit	490	Lure
47	1	138	Hit-FA	344	Targ
117	1	140	FA-FA	535	Lure
184	2	57	CR-Hit	835	Lure
49	1	153	Hit-Hit	352	Targ
175	1	151	FA-Hit	810	Lure
39	1	147	Hit-Hit	32	Targ
190	2	73	CR-Hit	845	Lure
83	1	36	Hit-FA	441	Targ
74	1	38	Hit-FA	417	Targ
38	1	16	Hit-FA	324	Targ
108	2	38	CR-Hit	510	Lure
60	1	105	Hit-Hit	381	Targ
161	1	114	Hit-FA	70	Targ
22	1	6	Hit-Hit	20	Targ
67	1	3	Hit-Hit	393	Targ
196	2	41	CR-FA	856	Lure
142	1	31	Hit-FA	59	Targ
98	1	99	FA-Hit	481	Lure
2	2	102	CR-Hit	1004	Lure
8	1	39	Hit-Hit	111	Targ
178	1	69	Hit-FA	81	Targ
182	2	85	CR-Hit	833	Lure
82	1	7	Hit-Hit	439	Targ
55	1	15	Hit-Hit	369	Targ
133	2	82	CR-Hit	571	Lure
111	1	159	Hit-FA	51	Targ
107	1	178	FA-FA	502	Lure
29	1	5	Hit-Hit	293	Targ
35	1	35	Hit-FA	317	Targ
164	2	23	CR-Hit	722	Lure
192	1	150	FA-Hit	849	Lure
169	2	32	CR-FA	757	Lure
152	2	89	CR-Hit	663	Lure
97	1	17	FA-FA	475	Lure
143	1	61	FA-Hit	605	Lure
151	1	65	FA-FA	661	Lure
21	1	67	Hit-FA	17	Targ
115	1	53	FA-Hit	527	Lure
172	2	42	CR-Hit	782	Lure
52	1	181	Hit-Hit	363	Targ
148	1	44	FA-Hit	632	Lure
119	1	59	Hit-NR	53	Targ
188	1	14	FA-FA	843	Lure
14	1	56	FA-Hit	1227	Lure
12	1	9	Hit-Hit	11	Targ
141	2	76	CR-Hit	596	Lure
15	1	97	Hit-FA	123	Targ
103	2	68	CR-NR	496	Lure
79	1	162	Hit-Hit	42	Targ
77	1	175	Hit-FA	422	Targ
72	1	146	Hit-Hit	412	Targ
45	1	160	Hit-NR	340	Targ
92	1	164	Hit-Hit	458	Targ
63	1	52	Hit-FA	388	Targ
71	1	70	Hit-Hit	408	Targ
102	1	98	FA-Hit	494	Lure
147	1	51	FA-FA	620	Lure
87	1	121	Hit-FA	450	Targ
121	2	129	CR-FA	541	Lure
41	1	168	Hit-Hit	332	Targ
70	1	14	Hit-Hit	406	Targ
189	2	55	CR-FA	844	Lure
17	1	75	Hit-Hit	144	Targ
90	1	127	Hit-Hit	454	Targ
109	1	124	FA-FA	514	Lure
62	1	7	Hit-Hit	387	Targ
76	1	35	Hit-Hit	41	Targ
104	2	46	CR-Hit	499	Lure
85	1	58	Hit-Hit	444	Targ
43	1	174	Hit-Hit	336	Targ
53	1	171	Hit-Hit	364	Targ
186	2	96	CR-Hit	838	Lure
114	1	95	FA-Hit	526	Lure
154	1	126	FA-FA	681	Lure
116	1	12	FA-Hit	530	Lure
168	2	10	CR-Hit	753	Lure
139	1	132	FA-Hit	591	Lure
59	1	21	Hit-FA	380	Targ
50	1	135	Hit-Hit	356	Targ
187	1	139	Hit-Hit	83	Targ
153	2	107	CR-FA	679	Lure
155	1	130	FA-FA	682	Lure
181	1	92	FA-FA	830	Lure
158	1	131	FA-Hit	692	Lure
199	1	55	FA-NR	867	Lure
6	1	84	FA-Hit	1088	Lure
167	1	101	FA-FA	732	Lure
18	1	108	Hit-Hit	15	Targ
66	1	154	Hit-Hit	391	Targ
157	1	40	Hit-Hit	68	Targ
3	1	155	FA-Hit	1019	Lure
44	2	13	Miss-FA	339	Targ
216	1	115	Hit-Hit	9	Targ
56	1	142	Hit-FA	373	Targ
57	1	28	Hit-Hit	375	Targ
146	1	176	Hit-Hit	61	Targ
69	1	113	Hit-FA	401	Targ
174	2	31	CR-Hit	797	Lure
171	2	63	CR-Hit	775	Lure
195	2	128	CR-Hit	854	Lure
33	1	11	Hit-FA	30	Targ
131	1	27	FA-Hit	563	Lure
84	2	18	Miss-Hit	443	Targ
37	1	165	Hit-Hit	31	Targ
54	1	62	Hit-Hit	366	Targ
1	2	111	CR-Hit	1000	Lure
191	1	24	FA-Hit	847	Lure
68	1	148	Hit-Hit	396	Targ
95	1	163	Hit-FA	469	Targ
137	2	110	CR-Hit	588	Lure
176	1	119	FA-Hit	812	Lure
30	1	123	Hit-Hit	297	Targ
185	2	103	CR-FA	837	Lure
165	1	9	FA-Hit	725	Lure
118	1	116	FA-Hit	539	Lure
127	1	34	Hit-Hit	54	Targ
170	2	72	CR-FA	764	Lure
197	1	74	FA-FA	860	Lure
94	1	169	Hit-FA	467	Targ
11	1	80	Hit-FA	117	Targ
31	1	157	Hit-FA	29	Targ
25	1	161	Hit-FA	23	Targ
194	1	83	FA-Hit	853	Lure
32	2	122	Miss-Hit	306	Targ
159	1	177	FA-FA	696	Lure
105	1	2	Hit-FA	49	Targ
156	1	25	FA-FA	684	Lure
75	1	112	Hit-FA	418	Targ
126	1	166	FA-Hit	549	Lure
91	1	156	Hit-FA	457	Targ
193	1	48	FA-Hit	851	Lure
93	1	152	Hit-Hit	464	Targ
40	2	77	Miss-FA	331	Targ
58	1	179	Hit-FA	378	Targ
144	1	80	FA-Hit	606	Lure
7	1	143	Hit-Hit	110	Targ
89	1	149	Hit-Hit	453	Targ
48	2	78	Miss-Hit	349	Targ
88	1	8	Hit-Hit	452	Targ
128	2	125	CR-FA	550	Lure
16	1	54	Hit-FA	124	Targ
65	1	141	Hit-Hit	390	Targ
78	1	14	Hit-Hit	427	Targ
129	2	91	CR-Hit	551	Lure
19	2	118	Miss-FA	166	Targ
177	1	55	FA-FA	814	Lure
80	1	20	Hit-FA	431	Targ
125	1	130	FA-Hit	548	Lure
124	2	133	CR-Hit	546	Lure
160	1	50	FA-FA	700	Lure
136	2	104	CR-Hit	582	Lure
100	2	79	CR-Hit	488	Lure
9	1	64	Hit-FA	112	Targ
26	1	94	Hit-FA	248	Targ
112	2	109	CR-Hit	520	Lure
96	1	134	FA-Hit	474	Lure
73	1	88	Hit-Hit	413	Targ
110	1	66	FA-FA	518	Lure
163	1	4	FA-Hit	713	Lure
34	1	129	Hit-FA	315	Targ
149	1	182	Hit-FA	63	Targ
64	1	71	Hit-Hit	38	Targ
10	1	100	FA-Hit	1148	Lure
130	1	47	Hit-Hit	55	Targ
51	1	172	Hit-Hit	35	Targ
42	1	170	Hit-FA	334	Targ
4	1	173	FA-FA	1031	Lure
138	2	22	CR-Hit	589	Lure
198	2	49	CR-Hit	861	Lure
120	2	33	CR-Hit	540	Lure
173	2	117	CR-FA	786	Lure
123	2	37	CR-Hit	545	Lure
166	1	182	FA-NR	729	Lure
28	1	158	Hit-Hit	292	Targ
23	1	106	Hit-Hit	22	Targ
81	1	45	Hit-Hit	437	Targ
134	1	93	FA-Hit	576	Lure
180	2	30	CR-Hit	827	Lure
179	1	163	FA-Hit	824	Lure
183	2	111	CR-Hit	834	Lure
162	1	29	FA-FA	710	Lure
106	1	87	FA-Hit	501	Lure
5	1	167	FA-FA	1056	Lure
61	1	24	Hit-Hit	386	Targ
140	1	47	FA-Hit	592	Lure
150	2	60	CR-Hit	654	Lure
132	1	153	FA-Hit	565	Lure
145	1	137	FA-Hit	616	Lure
36	1	81	Hit-FA	319	Targ
46	1	19	Hit-Hit	342	Targ
20	1	43	Hit-Hit	177	Targ
122	1	86	FA-Hit	544	Lure
135	2	120	CR-FA	579	Lure
13	1	24	Hit-FA	121	Targ
