Stimulus	KeyPress	RT	Behavior	Image	StimType
50	2	150	Miss-Hit	356	Targ
121	2	63	CR-FA	541	Lure
71	1	176	Hit-Hit	408	Targ
87	1	175	Hit-Hit	450	Targ
172	2	143	CR-Hit	782	Lure
82	1	179	Hit-FA	439	Targ
39	1	33	Hit-Hit	32	Targ
83	1	91	Hit-FA	441	Targ
86	1	20	Hit-Hit	448	Targ
66	1	41	Hit-Hit	391	Targ
189	2	101	CR-Hit	844	Lure
181	2	40	CR-FA	830	Lure
76	1	177	Hit-FA	41	Targ
22	1	100	Hit-FA	20	Targ
60	1	189	Hit-FA	381	Targ
167	1	38	FA-FA	732	Lure
152	2	148	CR-Hit	663	Lure
192	2	141	CR-Hit	849	Lure
8	1	188	Hit-Hit	111	Targ
21	1	67	Hit-Hit	17	Targ
55	1	14	Hit-Hit	369	Targ
18	1	90	Hit-FA	15	Targ
168	2	50	CR-FA	753	Lure
44	1	104	Hit-Hit	339	Targ
35	1	108	Hit-Hit	317	Targ
85	1	27	Hit-Hit	444	Targ
90	1	48	Hit-Hit	454	Targ
77	2	178	Miss-Hit	422	Targ
67	1	24	Hit-Hit	393	Targ
97	2	110	CR-FA	475	Lure
188	1	22	FA-Hit	843	Lure
49	2	151	Miss-Hit	352	Targ
169	1	133	FA-Hit	757	Lure
70	1	11	Hit-FA	406	Targ
2	2	92	CR-Hit	1004	Lure
216	1	19	Hit-Hit	9	Targ
12	1	23	Hit-FA	11	Targ
41	2	76	Miss-FA	332	Targ
115	1	51	FA-FA	527	Lure
116	1	163	FA-Hit	530	Lure
161	1	3	Hit-Hit	70	Targ
79	1	13	Hit-Hit	42	Targ
184	2	82	CR-Hit	835	Lure
56	1	186	Hit-Hit	373	Targ
24	1	2	Hit-Hit	232	Targ
98	1	39	FA-FA	481	Lure
38	1	139	Hit-Hit	324	Targ
113	1	127	FA-Hit	521	Lure
154	1	77	FA-Hit	681	Lure
47	1	157	Hit-FA	344	Targ
3	1	155	FA-Hit	1019	Lure
196	1	55	FA-Hit	856	Lure
157	1	117	Hit-Hit	68	Targ
6	1	162	FA-Hit	1088	Lure
143	2	186	CR-Hit	605	Lure
147	1	152	FA-Hit	620	Lure
151	1	114	FA-NR	661	Lure
101	1	134	FA-FA	490	Lure
17	1	8	Hit-Hit	144	Targ
52	1	49	Hit-FA	363	Targ
45	1	98	Hit-FA	340	Targ
141	2	72	CR-Hit	596	Lure
72	2	164	Miss-FA	412	Targ
199	1	190	FA-FA	867	Lure
62	1	71	Hit-Hit	387	Targ
186	2	37	CR-Hit	838	Lure
104	2	87	CR-Hit	499	Lure
15	2	124	Miss-Hit	123	Targ
190	2	119	CR-Hit	845	Lure
102	1	144	FA-Hit	494	Lure
133	2	130	CR-Hit	571	Lure
182	2	129	CR-Hit	833	Lure
142	1	29	Hit-FA	59	Targ
43	1	61	Hit-Hit	336	Targ
117	1	138	FA-FA	535	Lure
114	1	47	FA-FA	526	Lure
103	2	146	CR-FA	496	Lure
111	2	66	Miss-FA	51	Targ
59	1	17	Hit-FA	380	Targ
187	2	159	Miss-FA	83	Targ
14	2	151	CR-FA	1227	Lure
99	1	84	FA-FA	482	Lure
108	2	109	CR-FA	510	Lure
175	1	6	FA-Hit	810	Lure
63	1	135	Hit-Hit	388	Targ
53	2	126	Miss-Hit	364	Targ
74	1	192	Hit-FA	417	Targ
139	1	165	FA-Hit	591	Lure
109	1	101	FA-FA	514	Lure
92	2	102	Miss-FA	458	Targ
27	1	46	Hit-FA	24	Targ
153	1	136	FA-FA	679	Lure
107	1	122	FA-FA	502	Lure
148	2	153	CR-Hit	632	Lure
119	1	28	Hit-FA	53	Targ
29	1	42	Hit-NR	293	Targ
155	2	111	CR-Hit	682	Lure
178	1	15	Hit-Hit	81	Targ
158	1	64	FA-Hit	692	Lure
164	2	123	CR-Hit	722	Lure
131	1	96	FA-Hit	563	Lure
1	1	142	FA-Hit	1000	Lure
26	1	113	Hit-Hit	248	Targ
140	2	120	CR-FA	592	Lure
73	1	187	Hit-Hit	413	Targ
30	2	137	Miss-FA	297	Targ
126	2	132	CR-Hit	549	Lure
25	1	83	Hit-Hit	23	Targ
58	1	112	Hit-FA	378	Targ
91	1	68	Hit-Hit	457	Targ
193	1	89	FA-Hit	851	Lure
128	1	60	FA-FA	550	Lure
88	NR	1	NR-FA	452	Targ
173	NR	1	NR-FA	786	Lure
144	1	30	FA-Hit	606	Lure
166	1	183	FA-Hit	729	Lure
185	2	85	CR-FA	837	Lure
179	1	173	FA-Hit	824	Lure
112	2	69	CR-Hit	520	Lure
160	1	171	FA-FA	700	Lure
183	1	18	FA-FA	834	Lure
81	2	97	Miss-FA	437	Targ
132	1	74	FA-FA	565	Lure
68	1	7	Hit-Hit	396	Targ
57	2	184	Miss-FA	375	Targ
156	1	86	FA-FA	684	Lure
33	1	75	Hit-FA	30	Targ
197	1	5	FA-FA	860	Lure
23	1	174	Hit-Hit	22	Targ
146	1	35	Hit-FA	61	Targ
163	1	9	FA-FA	713	Lure
165	1	180	FA-Hit	725	Lure
5	1	16	FA-FA	1056	Lure
36	1	10	Hit-Hit	319	Targ
78	1	44	Hit-FA	427	Targ
28	1	78	Hit-Hit	292	Targ
80	1	80	Hit-FA	431	Targ
127	1	99	Hit-Hit	54	Targ
118	2	191	CR-Hit	539	Lure
138	2	115	CR-Hit	589	Lure
93	1	88	Hit-Hit	464	Targ
13	1	118	Hit-FA	121	Targ
4	1	121	FA-Hit	1031	Lure
177	2	131	CR-Hit	814	Lure
51	1	57	Hit-FA	35	Targ
69	2	52	Miss-FA	401	Targ
7	1	169	Hit-Hit	110	Targ
180	1	116	FA-Hit	827	Lure
96	1	145	FA-FA	474	Lure
100	1	94	FA-FA	488	Lure
198	1	31	FA-FA	861	Lure
48	2	32	Miss-Hit	349	Targ
106	1	25	FA-FA	501	Lure
65	1	4	Hit-Hit	390	Targ
162	1	172	FA-Hit	710	Lure
195	1	161	FA-FA	854	Lure
136	1	79	FA-FA	582	Lure
75	1	105	Hit-Hit	418	Targ
191	2	182	CR-Hit	847	Lure
137	1	128	FA-Hit	588	Lure
64	1	136	Hit-FA	38	Targ
37	1	140	Hit-FA	31	Targ
20	1	26	Hit-Hit	177	Targ
89	2	170	Miss-Hit	453	Targ
10	1	58	FA-FA	1148	Lure
130	1	34	Hit-FA	55	Targ
19	2	167	Miss-FA	166	Targ
176	2	95	CR-Hit	812	Lure
159	1	149	FA-FA	696	Lure
194	1	70	FA-Hit	853	Lure
120	1	53	FA-FA	540	Lure
9	1	36	Hit-Hit	112	Targ
16	1	154	Hit-Hit	124	Targ
95	2	168	Miss-Hit	469	Targ
31	2	107	Miss-Hit	29	Targ
94	1	181	Hit-FA	467	Targ
32	1	106	Hit-FA	306	Targ
135	1	185	FA-FA	579	Lure
34	1	62	Hit-Hit	315	Targ
110	1	81	FA-Hit	518	Lure
125	2	147	CR-Hit	548	Lure
61	2	125	Miss-FA	386	Targ
123	2	45	CR-FA	545	Lure
171	1	55	FA-FA	775	Lure
122	1	93	FA-FA	544	Lure
174	1	65	FA-Hit	797	Lure
11	2	43	Miss-FA	117	Targ
145	1	59	FA-FA	616	Lure
149	1	156	Hit-FA	63	Targ
54	1	63	Hit-Hit	366	Targ
124	2	73	CR-FA	546	Lure
46	1	12	Hit-NR	342	Targ
42	1	21	Hit-Hit	334	Targ
105	1	54	Hit-Hit	49	Targ
84	NR	1	NR-FA	443	Targ
134	1	158	FA-FA	576	Lure
150	1	166	FA-FA	654	Lure
40	2	160	Miss-FA	331	Targ
170	1	56	FA-FA	764	Lure
129	2	103	CR-Hit	551	Lure
