Stimulus	KeyPress	RT	Behavior	Conf	Image	VerySome
453a.jpg	4	2892	FA	4	453	V
592b.jpg	1	2074	FA	4	592	V
860b.jpg	1	1621	FA	4	860	V
297a.jpg	1	1205	Hit	1	297	V
319a.jpg	1	1289	Hit	1	319	V
1019b.jpg	4	2181	Hit	1	1019	V
22b.jpg	3	2438	Hit	2	22	S
378b.jpg	1	3346	FA	4	378	V
732a.jpg	4	1490	FA	4	732	V
32b.jpg	4	3775	Hit	1	32	V
35b.jpg	NR	0	NR	NR	35	NR
514a.jpg	4	483	FA	4	514	V
352b.jpg	4	2540	Hit	1	352	V
375b.jpg	4	1704	Hit	1	375	V
443a.jpg	2	3107	Hit	2	443	S
551b.jpg	4	2458	Hit	1	551	V
340b.jpg	3	1852	Hit	2	340	S
616b.jpg	4	3496	Hit	1	616	V
834b.jpg	4	1646	Hit	1	834	V
123a.jpg	1	2529	Hit	1	123	V
20b.jpg	4	3106	Hit	1	20	V
540a.jpg	2	2959	Hit	2	540	S
867b.jpg	4	2904	Hit	1	867	V
441a.jpg	2	2468	Hit	2	441	S
845b.jpg	2	2708	FA	3	845	S
388b.jpg	1	1470	FA	4	388	V
17b.jpg	4	2524	Hit	1	17	V
1088b.jpg	4	3409	Hit	1	1088	V
315a.jpg	1	1556	Hit	1	315	V
474a.jpg	4	2775	FA	4	474	V
324a.jpg	3	3074	FA	3	324	S
1148b.jpg	1	2166	FA	4	1148	V
464a.jpg	1	2426	Hit	1	464	V
713a.jpg	2	3439	Hit	2	713	S
427a.jpg	1	2489	Hit	1	427	V
53b.jpg	4	1618	Hit	1	53	V
306a.jpg	1	2675	Hit	1	306	V
520a.jpg	4	1953	FA	4	520	V
854b.jpg	4	2886	Hit	1	854	V
439a.jpg	1	1650	Hit	1	439	V
112a.jpg	1	2699	Hit	1	112	V
1056b.jpg	4	2539	Hit	1	1056	V
117a.jpg	4	1989	FA	4	117	V
546b.jpg	1	2006	FA	4	546	V
844b.jpg	4	1575	Hit	1	844	V
63b.jpg	4	2301	Hit	1	63	V
373b.jpg	1	2232	FA	4	373	V
488a.jpg	3	2434	FA	3	488	S
412a.jpg	1	1517	Hit	1	412	V
51b.jpg	1	3165	FA	4	51	V
681a.jpg	1	1859	Hit	1	681	V
518a.jpg	1	1180	Hit	1	518	V
469a.jpg	4	2350	FA	4	469	V
535a.jpg	2	2433	Hit	2	535	S
851b.jpg	4	2390	Hit	1	851	V
550b.jpg	1	3528	FA	4	550	V
764a.jpg	1	1830	Hit	1	764	V
452a.jpg	4	1378	FA	4	452	V
861b.jpg	4	2939	Hit	1	861	V
83a.jpg	1	2295	Hit	1	83	V
29b.jpg	4	2281	Hit	1	29	V
349b.jpg	4	1975	Hit	1	349	V
757a.jpg	1	1699	Hit	1	757	V
499a.jpg	1	3390	Hit	1	499	V
1000b.jpg	1	1963	FA	4	1000	V
843b.jpg	2	2747	FA	3	843	S
548b.jpg	2	3355	FA	3	548	S
544a.jpg	1	1400	Hit	1	544	V
521a.jpg	4	1961	FA	4	521	V
582b.jpg	1	1849	FA	4	582	V
9b.jpg	1	1616	FA	4	9	V
838b.jpg	4	1177	Hit	1	838	V
59b.jpg	4	2545	Hit	1	59	V
454a.jpg	1	1853	Hit	1	454	V
248a.jpg	1	1633	Hit	1	248	V
339b.jpg	2	3103	FA	3	339	S
549b.jpg	2	2615	FA	3	549	S
401a.jpg	3	2307	FA	3	401	S
417a.jpg	1	1364	Hit	1	417	V
571b.jpg	4	1614	Hit	1	571	V
679b.jpg	1	2057	FA	4	679	V
363b.jpg	4	1079	Hit	1	363	V
696a.jpg	4	4004	FA	4	696	V
588b.jpg	4	3062	Hit	1	588	V
364b.jpg	3	2303	Hit	2	364	S
41b.jpg	4	1125	Hit	1	41	V
849b.jpg	4	1495	Hit	1	849	V
810a.jpg	1	2132	Hit	1	810	V
579b.jpg	1	1450	FA	4	579	V
496a.jpg	1	2533	Hit	1	496	V
824a.jpg	1	2850	Hit	1	824	V
814a.jpg	2	3153	Hit	2	814	S
596b.jpg	4	2599	Hit	1	596	V
786a.jpg	4	1946	FA	4	786	V
692a.jpg	1	3937	Hit	1	692	V
144a.jpg	2	3620	Hit	2	144	S
847b.jpg	1	1665	FA	4	847	V
54b.jpg	4	2589	Hit	1	54	V
526a.jpg	1	2175	Hit	1	526	V
61b.jpg	1	2791	FA	4	61	V
530a.jpg	4	3495	FA	4	530	V
545a.jpg	1	1187	Hit	1	545	V
317a.jpg	4	1236	FA	4	317	V
431a.jpg	4	2553	FA	4	431	V
166a.jpg	4	3634	FA	4	166	V
406a.jpg	1	2603	Hit	1	406	V
331a.jpg	4	1752	FA	4	331	V
830a.jpg	1	2512	Hit	1	830	V
293a.jpg	1	1663	Hit	1	293	V
833b.jpg	4	2178	Hit	1	833	V
177a.jpg	1	1415	Hit	1	177	V
563b.jpg	4	2571	Hit	1	563	V
