Stimulus	KeyPress	RT	Behavior	Conf	Image	VerySome
412a.jpg	2	2808	Hit	2	412	S
474a.jpg	1	3602	Hit	1	474	V
854b.jpg	2	3554	FA	3	854	S
375b.jpg	4	2251	Hit	1	375	V
439a.jpg	1	3226	Hit	1	439	V
427a.jpg	1	4470	Hit	1	427	V
319a.jpg	1	2633	Hit	1	319	V
117a.jpg	4	2404	FA	4	117	V
592b.jpg	1	2914	FA	4	592	V
352b.jpg	4	2679	Hit	1	352	V
551b.jpg	1	1884	FA	4	551	V
616b.jpg	4	3119	Hit	1	616	V
22b.jpg	4	1852	Hit	1	22	V
834b.jpg	4	2230	Hit	1	834	V
297a.jpg	4	3047	FA	4	297	V
123a.jpg	2	2888	Hit	2	123	S
464a.jpg	2	3466	Hit	2	464	S
732a.jpg	2	2076	Hit	2	732	S
53b.jpg	3	3240	Hit	2	53	S
453a.jpg	2	2759	Hit	2	453	S
112a.jpg	4	3524	FA	4	112	V
443a.jpg	1	3771	Hit	1	443	V
514a.jpg	4	2696	FA	4	514	V
844b.jpg	4	1286	Hit	1	844	V
867b.jpg	4	3330	Hit	1	867	V
860b.jpg	4	2762	Hit	1	860	V
20b.jpg	3	3096	Hit	2	20	S
520a.jpg	1	2956	Hit	1	520	V
388b.jpg	1	1224	FA	4	388	V
315a.jpg	1	3193	Hit	1	315	V
17b.jpg	1	3197	FA	4	17	V
373b.jpg	4	2540	Hit	1	373	V
306a.jpg	2	3771	Hit	2	306	S
1056b.jpg	4	3712	Hit	1	1056	V
378b.jpg	4	1968	Hit	1	378	V
488a.jpg	4	3351	FA	4	488	V
51b.jpg	1	1935	FA	4	51	V
441a.jpg	3	3096	FA	3	441	S
32b.jpg	3	3620	Hit	2	32	S
35b.jpg	2	4473	FA	3	35	S
1148b.jpg	1	1317	FA	4	1148	V
324a.jpg	1	1723	Hit	1	324	V
546b.jpg	3	3324	Hit	2	546	S
340b.jpg	3	2243	Hit	2	340	S
1019b.jpg	3	4183	Hit	2	1019	S
713a.jpg	3	3157	FA	3	713	S
540a.jpg	3	3287	FA	3	540	S
845b.jpg	1	2071	FA	4	845	V
1088b.jpg	4	3324	Hit	1	1088	V
63b.jpg	4	2488	Hit	1	63	V
452a.jpg	4	1519	FA	4	452	V
810a.jpg	1	2714	Hit	1	810	V
851b.jpg	4	2827	Hit	1	851	V
544a.jpg	2	2815	Hit	2	544	S
469a.jpg	3	3233	FA	3	469	S
364b.jpg	4	2104	Hit	1	364	V
814a.jpg	1	2771	Hit	1	814	V
59b.jpg	1	3382	FA	4	59	V
681a.jpg	1	3444	Hit	1	681	V
1000b.jpg	1	2065	FA	4	1000	V
861b.jpg	4	3767	Hit	1	861	V
54b.jpg	1	4368	FA	4	54	V
549b.jpg	2	3784	FA	3	549	S
29b.jpg	4	2201	Hit	1	29	V
847b.jpg	3	3033	Hit	2	847	S
454a.jpg	2	3324	Hit	2	454	S
9b.jpg	3	3748	Hit	2	9	S
757a.jpg	2	3689	Hit	2	757	S
499a.jpg	2	4070	Hit	2	499	S
843b.jpg	3	3348	Hit	2	843	S
679b.jpg	1	3491	FA	4	679	V
417a.jpg	1	1955	Hit	1	417	V
363b.jpg	4	1950	Hit	1	363	V
61b.jpg	4	3131	Hit	1	61	V
526a.jpg	1	3520	Hit	1	526	V
349b.jpg	4	2309	Hit	1	349	V
579b.jpg	4	1285	Hit	1	579	V
144a.jpg	1	3466	Hit	1	144	V
786a.jpg	4	1726	FA	4	786	V
764a.jpg	4	3451	FA	4	764	V
548b.jpg	4	3952	Hit	1	548	V
535a.jpg	4	2725	FA	4	535	V
692a.jpg	1	2055	Hit	1	692	V
838b.jpg	1	1968	FA	4	838	V
571b.jpg	4	1603	Hit	1	571	V
550b.jpg	2	2897	FA	3	550	S
248a.jpg	3	3923	FA	3	248	S
496a.jpg	1	2693	Hit	1	496	V
401a.jpg	3	2731	FA	3	401	S
824a.jpg	1	2250	Hit	1	824	V
588b.jpg	4	1208	Hit	1	588	V
339b.jpg	2	2696	FA	3	339	S
596b.jpg	3	2606	Hit	2	596	S
696a.jpg	2	3736	Hit	2	696	S
83a.jpg	1	3161	Hit	1	83	V
518a.jpg	1	3834	Hit	1	518	V
41b.jpg	4	1390	Hit	1	41	V
849b.jpg	2	1793	FA	3	849	S
582b.jpg	3	2980	Hit	2	582	S
521a.jpg	3	3415	FA	3	521	S
856b.jpg	3	2018	Hit	2	856	S
576b.jpg	4	2308	Hit	1	576	V
381b.jpg	1	3194	FA	4	381	V
448a.jpg	3	3150	FA	3	448	S
334b.jpg	2	2845	FA	3	334	S
812a.jpg	1	1358	Hit	1	812	V
494a.jpg	4	2554	FA	4	494	V
722a.jpg	3	3258	FA	3	722	S
293a.jpg	1	3376	Hit	1	293	V
111a.jpg	1	1330	Hit	1	111	V
475a.jpg	2	2549	Hit	2	475	S
830a.jpg	2	2719	Hit	2	830	S
565b.jpg	2	3958	FA	3	565	S
391b.jpg	1	2552	FA	4	391	V
124a.jpg	1	2766	Hit	1	124	V
408a.jpg	1	1389	Hit	1	408	V
406a.jpg	4	2341	FA	4	406	V
418a.jpg	3	3056	FA	3	418	S
166a.jpg	4	2536	FA	4	166	V
387b.jpg	3	3335	Hit	2	387	S
110a.jpg	2	3231	Hit	2	110	S
331a.jpg	2	3880	Hit	2	331	S
827a.jpg	3	3135	FA	3	827	S
775a.jpg	4	2253	FA	4	775	V
700a.jpg	3	3980	FA	3	700	S
632b.jpg	4	2399	Hit	1	632	V
42b.jpg	4	2459	Hit	1	42	V
292a.jpg	1	1991	Hit	1	292	V
393b.jpg	4	1617	Hit	1	393	V
344b.jpg	2	3227	FA	3	344	S
663b.jpg	1	1427	FA	4	663	V
457a.jpg	1	2330	Hit	1	457	V
366b.jpg	4	1610	Hit	1	366	V
563b.jpg	1	2746	FA	4	563	V
81a.jpg	2	2304	Hit	2	81	S
369b.jpg	4	1738	Hit	1	369	V
467a.jpg	4	1323	FA	4	467	V
232a.jpg	4	3055	FA	4	232	V
431a.jpg	3	4084	FA	3	431	S
545a.jpg	4	2275	FA	4	545	V
833b.jpg	1	2988	FA	4	833	V
317a.jpg	3	4363	FA	3	317	S
482a.jpg	4	1779	FA	4	482	V
1227b.jpg	3	3422	Hit	2	1227	S
530a.jpg	2	3849	Hit	2	530	S
70a.jpg	3	2425	FA	3	70	S
177a.jpg	2	1582	Hit	2	177	S
797a.jpg	1	3544	Hit	1	797	V
386b.jpg	3	3400	Hit	2	386	S
684a.jpg	3	2779	FA	3	684	S
782a.jpg	4	2371	FA	4	782	V
450a.jpg	4	3084	FA	4	450	V
31b.jpg	3	3235	Hit	2	31	S
458a.jpg	2	2818	Hit	2	458	S
481a.jpg	3	3503	FA	3	481	S
853b.jpg	2	2347	FA	3	853	S
49b.jpg	1	1140	FA	4	49	V
30b.jpg	4	2216	Hit	1	30	V
15b.jpg	4	2956	Hit	1	15	V
121a.jpg	3	3655	FA	3	121	S
835b.jpg	3	2916	Hit	2	835	S
591b.jpg	2	3128	FA	3	591	S
23b.jpg	4	1976	Hit	1	23	V
654b.jpg	4	3045	Hit	1	654	V
510a.jpg	4	2528	FA	4	510	V
502a.jpg	3	2221	FA	3	502	S
11b.jpg	3	4087	Hit	2	11	S
539a.jpg	2	3466	Hit	2	539	S
396b.jpg	2	3926	FA	3	396	S
413a.jpg	4	2443	FA	4	413	V
336b.jpg	2	2971	FA	3	336	S
682a.jpg	NR	0	NR	NR	682	NR
725a.jpg	2	1977	Hit	2	725	S
620b.jpg	4	1290	Hit	1	620	V
605b.jpg	4	2913	Hit	1	605	V
437a.jpg	1	2541	Hit	1	437	V
661b.jpg	4	2136	Hit	1	661	V
38b.jpg	3	4016	Hit	2	38	S
68b.jpg	2	2418	FA	3	68	S
356b.jpg	3	3649	Hit	2	356	S
