Stimulus	KeyPress	RT	Behavior	Conf	Image	VerySome
373b.jpg	1	115	Hit-FA	4	373	V
1148b.jpg	2	148	CR-FA	3	1148	S
297a.jpg	3	186	Miss-FA	3	297	S
834b.jpg	1	5	FA-FA	4	834	V
453a.jpg	2	129	Hit-Hit	2	453	S
1056b.jpg	4	11	CR-Hit	1	1056	V
441a.jpg	1	4	Hit-Hit	1	441	V
388b.jpg	2	25	Miss-FA	3	388	S
112a.jpg	1	30	Hit-Hit	1	112	V
488a.jpg	3	69	FA-FA	3	488	S
63b.jpg	3	141	Hit-Hit	2	63	S
443a.jpg	3	146	Hit-FA	3	443	S
17b.jpg	3	172	Hit-Hit	2	17	S
32b.jpg	3	140	Miss-Hit	2	32	S
1088b.jpg	4	95	FA-Hit	1	1088	V
35b.jpg	3	86	Hit-Hit	2	35	S
474a.jpg	3	171	CR-FA	3	474	S
117a.jpg	4	57	Hit-FA	4	117	V
375b.jpg	4	33	Hit-Hit	1	375	V
713a.jpg	2	92	FA-Hit	2	713	S
616b.jpg	2	93	FA-FA	3	616	S
514a.jpg	2	90	CR-Hit	2	514	S
324a.jpg	3	97	Hit-FA	3	324	S
845b.jpg	3	167	CR-Hit	2	845	S
540a.jpg	4	111	FA-FA	4	540	V
306a.jpg	1	62	Hit-Hit	1	306	V
439a.jpg	2	31	Miss-Hit	2	439	S
53b.jpg	4	2	Miss-Hit	1	53	V
352b.jpg	3	76	Miss-Hit	2	352	S
319a.jpg	1	13	Miss-Hit	1	319	V
427a.jpg	2	101	Hit-Hit	2	427	S
520a.jpg	2	120	FA-Hit	2	520	S
1019b.jpg	3	81	FA-Hit	2	1019	S
123a.jpg	3	85	Hit-FA	3	123	S
551b.jpg	3	190	CR-Hit	2	551	S
546b.jpg	3	188	CR-Hit	2	546	S
592b.jpg	2	178	FA-FA	3	592	S
412a.jpg	1	83	Miss-Hit	1	412	V
844b.jpg	4	47	FA-Hit	1	844	V
340b.jpg	4	12	Miss-Hit	1	340	V
854b.jpg	2	117	CR-FA	3	854	S
22b.jpg	4	24	Hit-Hit	1	22	V
20b.jpg	4	59	Hit-Hit	1	20	V
464a.jpg	3	98	Hit-FA	3	464	S
378b.jpg	4	125	Hit-Hit	1	378	V
315a.jpg	1	53	Hit-Hit	1	315	V
860b.jpg	3	22	FA-Hit	2	860	S
732a.jpg	3	15	CR-FA	3	732	S
51b.jpg	2	87	Miss-FA	3	51	S
867b.jpg	2	176	FA-FA	3	867	S
851b.jpg	3	47	FA-Hit	2	851	S
692a.jpg	2	166	FA-Hit	2	692	S
588b.jpg	1	74	FA-FA	4	588	V
496a.jpg	3	184	FA-FA	3	496	S
364b.jpg	2	181	Miss-FA	3	364	S
549b.jpg	NR	1	CR-NR	NR	549	NR
847b.jpg	2	14	FA-FA	3	847	S
454a.jpg	1	65	Miss-Hit	1	454	V
417a.jpg	2	34	Hit-Hit	2	417	S
363b.jpg	3	50	Hit-Hit	2	363	S
521a.jpg	2	136	FA-Hit	2	521	S
1000b.jpg	1	10	FA-FA	4	1000	V
61b.jpg	4	67	Hit-Hit	1	61	V
83a.jpg	3	151	Miss-FA	3	83	S
401a.jpg	3	40	Miss-FA	3	401	S
849b.jpg	2	143	FA-FA	3	849	S
452a.jpg	2	82	Miss-Hit	2	452	S
41b.jpg	3	63	Hit-Hit	2	41	S
544a.jpg	2	107	FA-Hit	2	544	S
499a.jpg	3	112	FA-FA	3	499	S
582b.jpg	3	23	CR-Hit	2	582	S
349b.jpg	3	109	Miss-Hit	2	349	S
596b.jpg	3	71	FA-Hit	2	596	S
843b.jpg	2	102	CR-FA	3	843	S
810a.jpg	4	147	FA-FA	4	810	V
838b.jpg	4	17	FA-Hit	1	838	V
518a.jpg	2	145	CR-Hit	2	518	S
526a.jpg	4	23	FA-FA	4	526	V
696a.jpg	2	103	CR-Hit	2	696	S
681a.jpg	2	113	FA-Hit	2	681	S
550b.jpg	2	174	FA-FA	3	550	S
29b.jpg	1	56	Hit-FA	4	29	V
