Stimulus	KeyPress	RT	Behavior	Image	StimType
148	2	71	CR-Hit	632	Lure
52	1	17	Hit-FA	363	Targ
157	1	174	Hit-Hit	68	Targ
114	2	76	CR-FA	526	Lure
92	1	15	Hit-NR	458	Targ
66	2	172	Miss-Hit	391	Targ
27	1	23	Hit-Hit	24	Targ
70	1	44	Hit-Hit	406	Targ
168	2	2	CR-FA	753	Lure
50	2	67	Miss-NR	356	Targ
192	2	49	CR-Hit	849	Lure
85	1	18	Hit-FA	444	Targ
167	1	91	FA-Hit	732	Lure
119	2	169	Miss-FA	53	Targ
49	1	52	Hit-Hit	352	Targ
45	1	143	Hit-Hit	340	Targ
111	1	167	Hit-FA	51	Targ
103	1	11	FA-Hit	496	Lure
18	1	170	Hit-NR	15	Targ
8	2	73	Miss-FA	111	Targ
153	2	124	CR-Hit	679	Lure
38	1	21	Hit-FA	324	Targ
182	2	93	CR-FA	833	Lure
98	2	100	CR-FA	481	Lure
86	2	112	Miss-FA	448	Targ
43	2	141	Miss-FA	336	Targ
115	2	57	CR-Hit	527	Lure
35	1	46	Hit-Hit	317	Targ
29	1	119	Hit-FA	293	Targ
39	1	74	Hit-FA	32	Targ
169	2	99	CR-FA	757	Lure
72	2	94	Miss-Hit	412	Targ
107	2	158	CR-Hit	502	Lure
109	2	82	CR-Hit	514	Lure
196	NR	1	NR-Hit	856	Lure
155	2	133	CR-Hit	682	Lure
15	1	116	Hit-FA	123	Targ
181	2	29	CR-NR	830	Lure
87	1	152	Hit-FA	450	Targ
24	2	80	Miss-Hit	232	Targ
55	2	69	Miss-Hit	369	Targ
142	2	109	Miss-FA	59	Targ
60	2	125	Miss-FA	381	Targ
44	1	153	Hit-NR	339	Targ
158	1	170	FA-Hit	692	Lure
97	1	5	FA-Hit	475	Lure
152	1	166	FA-Hit	663	Lure
178	2	62	Miss-NR	81	Targ
14	2	24	CR-NR	1227	Lure
189	2	72	CR-FA	844	Lure
90	2	113	Miss-Hit	454	Targ
77	2	110	Miss-Hit	422	Targ
83	2	31	Miss-FA	441	Targ
6	2	65	CR-Hit	1088	Lure
56	1	20	Hit-Hit	373	Targ
121	1	134	FA-FA	541	Lure
21	1	66	Hit-Hit	17	Targ
143	2	12	CR-FA	605	Lure
133	2	135	CR-NR	571	Lure
147	2	54	CR-Hit	620	Lure
104	2	47	CR-FA	499	Lure
71	1	70	Hit-NR	408	Targ
199	1	121	FA-Hit	867	Lure
47	1	79	Hit-NR	344	Targ
62	1	59	Hit-NR	387	Targ
141	2	61	CR-Hit	596	Lure
172	2	90	CR-NR	782	Lure
101	2	68	CR-NR	490	Lure
67	1	35	Hit-NR	393	Targ
41	1	70	Hit-FA	332	Targ
216	1	96	Hit-FA	9	Targ
116	1	157	FA-FA	530	Lure
175	1	53	FA-Hit	810	Lure
154	2	75	CR-Hit	681	Lure
164	1	58	FA-FA	722	Lure
22	1	160	Hit-Hit	20	Targ
74	1	129	Hit-Hit	417	Targ
17	1	34	Hit-FA	144	Targ
59	1	97	Hit-Hit	380	Targ
139	1	19	FA-FA	591	Lure
113	1	83	FA-FA	521	Lure
108	NR	1	NR-Hit	510	Lure
2	1	120	FA-Hit	1004	Lure
102	1	51	FA-Hit	494	Lure
187	2	56	Miss-Hit	83	Targ
188	1	85	FA-FA	843	Lure
3	2	111	CR-FA	1019	Lure
190	1	78	FA-Hit	845	Lure
76	1	3	Hit-FA	41	Targ
151	2	130	CR-FA	661	Lure
63	2	9	Miss-FA	388	Targ
79	1	50	Hit-FA	42	Targ
99	2	112	CR-Hit	482	Lure
53	1	165	Hit-FA	364	Targ
117	2	114	CR-Hit	535	Lure
186	2	55	CR-Hit	838	Lure
161	2	77	Miss-FA	70	Targ
184	2	126	CR-Hit	835	Lure
