Stimulus	KeyPress	RT	Behavior	Image	StimType
141	2	19	CR-Hit	596	Lure
60	1	7	Hit-Hit	381	Targ
70	2	81	Miss-FA	406	Targ
188	1	80	FA-Hit	843	Lure
39	2	16	Miss-FA	32	Targ
116	1	41	FA-FA	530	Lure
92	1	184	Hit-Hit	458	Targ
108	2	5	CR-Hit	510	Lure
168	2	63	CR-Hit	753	Lure
41	2	48	Miss-Hit	332	Targ
77	1	87	Hit-FA	422	Targ
199	1	67	FA-Hit	867	Lure
182	2	54	CR-Hit	833	Lure
90	2	70	Miss-Hit	454	Targ
98	2	57	CR-Hit	481	Lure
167	1	104	FA-Hit	732	Lure
107	2	121	CR-Hit	502	Lure
52	1	185	Hit-Hit	363	Targ
62	1	3	Hit-Hit	387	Targ
175	1	61	FA-FA	810	Lure
113	2	182	CR-Hit	521	Lure
49	1	85	Hit-Hit	352	Targ
47	1	47	Hit-Hit	344	Targ
99	2	59	CR-Hit	482	Lure
157	2	91	Miss-FA	68	Targ
85	1	11	Hit-Hit	444	Targ
196	2	156	CR-FA	856	Lure
82	2	36	Miss-Hit	439	Targ
148	2	113	CR-Hit	632	Lure
6	2	46	CR-Hit	1088	Lure
114	1	6	FA-FA	526	Lure
102	2	154	CR-Hit	494	Lure
8	1	24	Hit-Hit	111	Targ
21	1	181	Hit-Hit	17	Targ
56	1	17	Hit-Hit	373	Targ
79	1	134	Hit-Hit	42	Targ
38	1	73	Hit-Hit	324	Targ
181	1	135	FA-FA	830	Lure
17	1	119	Hit-Hit	144	Targ
192	2	149	CR-Hit	849	Lure
53	2	84	Miss-Hit	364	Targ
2	2	122	CR-Hit	1004	Lure
187	1	110	Hit-Hit	83	Targ
63	1	130	Hit-FA	388	Targ
152	2	10	CR-Hit	663	Lure
147	1	30	FA-Hit	620	Lure
117	1	116	FA-Hit	535	Lure
155	1	71	FA-Hit	682	Lure
55	2	112	Miss-FA	369	Targ
15	1	186	Hit-FA	123	Targ
22	1	9	Hit-Hit	20	Targ
71	1	171	Hit-Hit	408	Targ
139	1	83	FA-FA	591	Lure
