Stimulus	KeyPress	RT	Behavior	Image	StimType
148	2	71	CR-Hit-V	632	Lure
52	1	17	Hit-FA-V	363	Targ
157	1	174	Hit-Hit-S	68	Targ
114	2	76	CR-FA-S	526	Lure
92	1	15	Hit-NR-NR	458	Targ
66	2	172	Miss-Hit-S	391	Targ
27	1	23	Hit-Hit-S	24	Targ
70	1	44	Hit-Hit-V	406	Targ
168	2	2	CR-FA-V	753	Lure
50	2	67	Miss-NR-NR	356	Targ
192	2	49	CR-Hit-V	849	Lure
85	1	18	Hit-FA-V	444	Targ
167	1	91	FA-Hit-S	732	Lure
119	2	169	Miss-FA-V	53	Targ
49	1	52	Hit-Hit-S	352	Targ
45	1	143	Hit-Hit-S	340	Targ
111	1	167	Hit-FA-S	51	Targ
103	1	11	FA-Hit-S	496	Lure
18	1	170	Hit-NR-NR	15	Targ
8	2	73	Miss-FA-V	111	Targ
153	2	124	CR-Hit-S	679	Lure
38	1	21	Hit-FA-S	324	Targ
182	2	93	CR-FA-S	833	Lure
98	2	100	CR-FA-S	481	Lure
86	2	112	Miss-FA-S	448	Targ
43	2	141	Miss-FA-V	336	Targ
115	2	57	CR-Hit-V	527	Lure
35	1	46	Hit-Hit-V	317	Targ
29	1	119	Hit-FA-V	293	Targ
39	1	74	Hit-FA-V	32	Targ
169	2	99	CR-FA-S	757	Lure
72	2	94	Miss-Hit-V	412	Targ
107	2	158	CR-Hit-S	502	Lure
109	2	82	CR-Hit-V	514	Lure
196	NR	1	NR-Hit-V	856	Lure
155	2	133	CR-Hit-S	682	Lure
15	1	116	Hit-FA-S	123	Targ
181	2	29	CR-NR-NR	830	Lure
87	1	152	Hit-FA-S	450	Targ
24	2	80	Miss-Hit-S	232	Targ
55	2	69	Miss-Hit-S	369	Targ
142	2	109	Miss-FA-S	59	Targ
60	2	125	Miss-FA-V	381	Targ
44	1	153	Hit-NR-NR	339	Targ
158	1	170	FA-Hit-S	692	Lure
97	1	5	FA-Hit-V	475	Lure
152	1	166	FA-Hit-V	663	Lure
178	2	62	Miss-NR-NR	81	Targ
14	2	24	CR-NR-NR	1227	Lure
189	2	72	CR-FA-V	844	Lure
90	2	113	Miss-Hit-V	454	Targ
77	2	110	Miss-Hit-S	422	Targ
83	2	31	Miss-FA-S	441	Targ
6	2	65	CR-Hit-V	1088	Lure
56	1	20	Hit-Hit-V	373	Targ
121	1	134	FA-FA-S	541	Lure
21	1	66	Hit-Hit-V	17	Targ
143	2	12	CR-FA-S	605	Lure
133	2	135	CR-NR-NR	571	Lure
147	2	54	CR-Hit-S	620	Lure
104	2	47	CR-FA-S	499	Lure
71	1	70	Hit-NR-NR	408	Targ
199	1	121	FA-Hit-S	867	Lure
47	1	79	Hit-NR-NR	344	Targ
62	1	59	Hit-NR-NR	387	Targ
141	2	61	CR-Hit-V	596	Lure
172	2	90	CR-NR-NR	782	Lure
101	2	68	CR-NR-NR	490	Lure
67	1	35	Hit-NR-NR	393	Targ
41	1	70	Hit-FA-S	332	Targ
216	1	96	Hit-FA-V	9	Targ
116	1	157	FA-FA-S	530	Lure
175	1	53	FA-Hit-V	810	Lure
154	2	75	CR-Hit-S	681	Lure
164	1	58	FA-FA-S	722	Lure
22	1	160	Hit-Hit-V	20	Targ
74	1	129	Hit-Hit-S	417	Targ
17	1	34	Hit-FA-S	144	Targ
59	1	97	Hit-Hit-S	380	Targ
139	1	19	FA-FA-S	591	Lure
113	1	83	FA-FA-S	521	Lure
108	NR	1	NR-Hit-S	510	Lure
2	1	120	FA-Hit-V	1004	Lure
102	1	51	FA-Hit-S	494	Lure
187	2	56	Miss-Hit-S	83	Targ
188	1	85	FA-FA-S	843	Lure
3	2	111	CR-FA-S	1019	Lure
190	1	78	FA-Hit-S	845	Lure
76	1	3	Hit-FA-V	41	Targ
151	2	130	CR-FA-V	661	Lure
63	2	9	Miss-FA-S	388	Targ
79	1	50	Hit-FA-V	42	Targ
99	2	112	CR-Hit-V	482	Lure
53	1	165	Hit-FA-V	364	Targ
117	2	114	CR-Hit-S	535	Lure
186	2	55	CR-Hit-V	838	Lure
161	2	77	Miss-FA-V	70	Targ
184	2	126	CR-Hit-S	835	Lure
12	1	39	Hit-Hit-S	11	Targ
82	1	87	Hit-NR-NR	439	Targ
58	1	147	Hit-Hit-S	378	Targ
149	1	4	Hit-Hit-S	63	Targ
166	2	138	CR-NR-NR	729	Lure
191	1	6	FA-FA-V	847	Lure
46	1	26	Hit-FA-S	342	Targ
40	1	64	Hit-Hit-V	331	Targ
135	2	10	CR-FA-S	579	Lure
110	2	155	CR-Hit-V	518	Lure
31	1	146	Hit-FA-V	29	Targ
146	2	30	Miss-Hit-V	61	Targ
124	2	145	CR-FA-S	546	Lure
26	2	7	Miss-FA-V	248	Targ
171	NR	1	NR-FA-S	775	Lure
138	1	41	FA-Hit-S	589	Lure
5	2	149	CR-Hit-V	1056	Lure
25	2	42	Miss-Hit-V	23	Targ
48	1	38	Hit-Hit-S	349	Targ
136	2	81	CR-Hit-S	582	Lure
150	2	8	CR-FA-S	654	Lure
170	1	108	FA-FA-S	764	Lure
185	2	40	CR-NR-NR	837	Lure
118	2	123	CR-NR-NR	539	Lure
193	2	78	CR-Hit-S	851	Lure
54	2	148	Miss-FA-V	366	Targ
120	2	121	CR-FA-S	540	Lure
128	2	156	CR-Hit-S	550	Lure
198	1	43	FA-FA-S	861	Lure
130	1	28	Hit-Hit-S	55	Targ
134	1	115	FA-FA-S	576	Lure
13	1	101	Hit-Hit-V	121	Targ
1	2	144	CR-NR-NR	1000	Lure
20	1	37	Hit-FA-V	177	Targ
32	1	27	Hit-Hit-V	306	Targ
94	1	175	Hit-NR-NR	467	Targ
105	1	60	Hit-FA-V	49	Targ
42	1	107	Hit-NR-NR	334	Targ
78	1	95	Hit-FA-V	427	Targ
7	2	63	Miss-Hit-S	110	Targ
127	1	89	Hit-Hit-V	54	Targ
23	1	168	Hit-Hit-V	22	Targ
61	1	171	Hit-NR-NR	386	Targ
126	1	159	FA-FA-V	549	Lure
28	1	128	Hit-FA-V	292	Targ
177	1	140	FA-NR-NR	814	Lure
89	2	102	Miss-Hit-V	453	Targ
174	1	163	FA-Hit-S	797	Lure
91	1	136	Hit-FA-V	457	Targ
163	2	104	CR-Hit-S	713	Lure
100	NR	1	NR-FA-V	488	Lure
125	2	33	CR-NR-NR	548	Lure
173	2	98	CR-Hit-S	786	Lure
183	1	125	FA-FA-V	834	Lure
137	2	93	CR-FA-S	588	Lure
156	2	22	CR-FA-S	684	Lure
16	1	127	Hit-FA-V	124	Targ
11	1	88	Hit-Hit-S	117	Targ
132	NR	1	NR-FA-S	565	Lure
4	2	117	CR-Hit-S	1031	Lure
30	1	48	Hit-Hit-V	297	Targ
162	1	13	FA-FA-S	710	Lure
197	2	14	CR-FA-S	860	Lure
9	1	154	Hit-FA-V	112	Targ
68	NR	1	NR-Hit-S	396	Targ
51	1	122	Hit-FA-V	35	Targ
194	1	86	FA-Hit-S	853	Lure
75	2	176	Miss-NR-NR	418	Targ
176	1	142	FA-Hit-S	812	Lure
179	1	132	FA-NR-NR	824	Lure
19	NR	1	NR-Hit-S	166	Targ
96	NR	1	NR-Hit-S	474	Lure
95	1	45	Hit-Hit-S	469	Targ
10	2	139	CR-Hit-S	1148	Lure
37	1	16	Hit-FA-V	31	Targ
80	2	131	Miss-Hit-S	431	Targ
57	2	84	Miss-Hit-V	375	Targ
65	2	110	Miss-FA-S	390	Targ
36	1	25	Hit-Hit-V	319	Targ
106	2	33	CR-Hit-V	501	Lure
69	2	106	Miss-FA-S	401	Targ
84	NR	1	NR-FA-S	443	Targ
33	1	151	Hit-FA-V	30	Targ
123	1	105	FA-FA-S	545	Lure
145	2	161	CR-Hit-S	616	Lure
160	2	92	CR-Hit-S	700	Lure
165	1	173	FA-Hit-S	725	Lure
34	1	162	Hit-FA-V	315	Targ
122	1	150	FA-FA-S	544	Lure
131	1	138	FA-FA-S	563	Lure
81	1	74	Hit-NR-NR	437	Targ
144	2	133	CR-FA-S	606	Lure
129	2	164	CR-Hit-S	551	Lure
112	2	137	CR-Hit-V	520	Lure
140	1	118	FA-FA-S	592	Lure
93	1	36	Hit-Hit-V	464	Targ
64	2	145	Miss-FA-S	38	Targ
88	1	103	Hit-Hit-V	452	Targ
73	NR	1	NR-Hit-S	413	Targ
195	1	136	FA-NR-NR	854	Lure
159	NR	1	NR-Hit-S	696	Lure
180	1	32	FA-FA-S	827	Lure
