Stimulus	KeyPress	RT	Behavior	Conf	Image	VerySome
53b.jpg	2	2892	FA	3	53	S
592b.jpg	1	3101	FA	4	592	V
373b.jpg	3	3126	Hit	2	373	S
1019b.jpg	4	3056	Hit	1	1019	V
854b.jpg	2	3837	FA	3	854	S
319a.jpg	1	2396	Hit	1	319	V
540a.jpg	4	2047	FA	4	540	V
844b.jpg	4	3190	Hit	1	844	V
375b.jpg	1	3421	FA	4	375	V
834b.jpg	2	3149	FA	3	834	S
443a.jpg	3	2916	FA	3	443	S
112a.jpg	2	2534	Hit	2	112	S
474a.jpg	3	3290	FA	3	474	S
546b.jpg	1	2308	FA	4	546	V
297a.jpg	3	3021	FA	3	297	S
845b.jpg	4	3433	Hit	1	845	V
713a.jpg	3	1980	FA	3	713	S
123a.jpg	2	3026	Hit	2	123	S
388b.jpg	3	2740	Hit	2	388	S
520a.jpg	1	1542	Hit	1	520	V
20b.jpg	1	4280	FA	4	20	V
439a.jpg	4	2863	FA	4	439	V
732a.jpg	3	3360	FA	3	732	S
1056b.jpg	2	3914	FA	3	1056	S
488a.jpg	4	3317	FA	4	488	V
427a.jpg	3	2601	FA	3	427	S
860b.jpg	2	2498	FA	3	860	S
352b.jpg	4	2794	Hit	1	352	V
35b.jpg	1	3142	FA	4	35	V
378b.jpg	2	3170	FA	3	378	S
453a.jpg	2	2534	Hit	2	453	S
117a.jpg	3	3628	FA	3	117	S
1148b.jpg	2	2644	FA	3	1148	S
63b.jpg	1	2118	FA	4	63	V
306a.jpg	3	2957	FA	3	306	S
340b.jpg	2	2561	FA	3	340	S
315a.jpg	2	4305	Hit	2	315	S
551b.jpg	4	1469	Hit	1	551	V
324a.jpg	2	2707	Hit	2	324	S
514a.jpg	3	2971	FA	3	514	S
616b.jpg	2	3734	FA	3	616	S
17b.jpg	4	2601	Hit	1	17	V
51b.jpg	2	4092	FA	3	51	S
867b.jpg	2	3651	FA	3	867	S
441a.jpg	3	2701	FA	3	441	S
32b.jpg	4	2855	Hit	1	32	V
464a.jpg	2	3487	Hit	2	464	S
412a.jpg	3	4360	FA	3	412	S
1088b.jpg	4	2323	Hit	1	1088	V
22b.jpg	3	3710	Hit	2	22	S
9b.jpg	3	3272	Hit	2	9	S
