Stimulus	KeyPress	RT	Behavior	Image	StimType
72	NR	1	NR-Hit	412	Targ
216	1	59	Hit-Hit	9	Targ
6	2	40	CR-Hit	1088	Lure
8	1	67	Hit-Hit	111	Targ
182	2	147	CR-Hit	833	Lure
2	2	36	CR-NR	1004	Lure
196	1	128	FA-Hit	856	Lure
62	2	97	Miss-Hit	387	Targ
113	2	71	CR-Hit	521	Lure
63	1	39	Hit-Hit	388	Targ
108	1	122	FA-NR	510	Lure
154	1	121	FA-FA	681	Lure
49	1	104	Hit-Hit	352	Targ
99	2	130	CR-Hit	482	Lure
167	1	42	FA-Hit	732	Lure
119	2	102	Miss-Hit	53	Targ
29	1	112	Hit-Hit	293	Targ
104	1	56	FA-FA	499	Lure
152	1	103	FA-FA	663	Lure
22	1	70	Hit-Hit	20	Targ
109	1	7	FA-FA	514	Lure
79	1	19	Hit-Hit	42	Targ
45	1	7	Hit-Hit	340	Targ
83	1	144	Hit-Hit	441	Targ
148	1	80	FA-FA	632	Lure
164	2	78	CR-FA	722	Lure
43	1	35	Hit-Hit	336	Targ
143	1	48	FA-NR	605	Lure
199	1	92	FA-Hit	867	Lure
157	1	18	Hit-NR	68	Targ
82	1	89	Hit-FA	439	Targ
158	2	83	CR-Hit	692	Lure
12	1	94	Hit-Hit	11	Targ
41	1	135	Hit-Hit	332	Targ
67	1	19	Hit-Hit	393	Targ
101	2	86	CR-Hit	490	Lure
139	1	63	FA-NR	591	Lure
97	1	5	FA-FA	475	Lure
27	1	14	Hit-Hit	24	Targ
114	1	114	FA-FA	526	Lure
66	1	17	Hit-Hit	391	Targ
86	1	61	Hit-Hit	448	Targ
39	1	137	Hit-Hit	32	Targ
87	1	26	Hit-FA	450	Targ
116	1	143	FA-NR	530	Lure
38	1	32	Hit-Hit	324	Targ
56	1	75	Hit-Hit	373	Targ
17	1	88	Hit-FA	144	Targ
161	1	64	Hit-Hit	70	Targ
47	1	49	Hit-Hit	344	Targ
92	1	126	Hit-FA	458	Targ
90	1	3	Hit-Hit	454	Targ
60	1	33	Hit-FA	381	Targ
141	1	136	FA-Hit	596	Lure
107	2	57	CR-NR	502	Lure
117	1	22	FA-Hit	535	Lure
55	NR	1	NR-Hit	369	Targ
44	1	58	Hit-Hit	339	Targ
50	1	138	Hit-FA	356	Targ
71	1	23	Hit-Hit	408	Targ
190	NR	1	NR-FA	845	Lure
59	1	15	Hit-Hit	380	Targ
3	1	72	FA-FA	1019	Lure
115	1	51	FA-FA	527	Lure
52	1	134	Hit-Hit	363	Targ
85	1	9	Hit-NR	444	Targ
15	1	65	Hit-FA	123	Targ
74	1	125	Hit-Hit	417	Targ
53	1	146	Hit-Hit	364	Targ
24	NR	1	NR-Hit	232	Targ
189	1	66	FA-Hit	844	Lure
168	NR	1	NR-Hit	753	Lure
147	1	131	FA-Hit	620	Lure
133	2	25	CR-Hit	571	Lure
192	2	95	CR-Hit	849	Lure
77	2	77	Miss-FA	422	Targ
14	1	127	FA-Hit	1227	Lure
188	2	26	CR-Hit	843	Lure
175	2	31	CR-Hit	810	Lure
121	1	115	FA-Hit	541	Lure
102	NR	1	NR-Hit	494	Lure
178	NR	1	NR-NR	81	Targ
186	1	45	FA-Hit	838	Lure
21	1	52	Hit-Hit	17	Targ
184	2	101	CR-Hit	835	Lure
35	1	8	Hit-NR	317	Targ
70	NR	1	NR-NR	406	Targ
111	1	60	Hit-FA	51	Targ
142	NR	1	NR-Hit	59	Targ
172	NR	1	NR-Hit	782	Lure
98	1	87	FA-FA	481	Lure
151	1	21	FA-Hit	661	Lure
153	1	41	FA-Hit	679	Lure
103	2	110	CR-NR	496	Lure
169	1	65	FA-FA	757	Lure
18	NR	1	NR-Hit	15	Targ
187	NR	1	NR-Hit	83	Targ
181	1	10	FA-FA	830	Lure
76	1	141	Hit-Hit	41	Targ
155	NR	1	NR-Hit	682	Lure
171	2	123	CR-FA	775	Lure
89	1	62	Hit-Hit	453	Targ
51	2	120	Miss-FA	35	Targ
1	1	118	FA-Hit	1000	Lure
19	1	81	Hit-Hit	166	Targ
34	1	41	Hit-Hit	315	Targ
69	2	99	Miss-Hit	401	Targ
170	1	129	FA-Hit	764	Lure
120	1	116	FA-FA	540	Lure
144	2	133	CR-NR	606	Lure
176	1	117	FA-Hit	812	Lure
36	1	111	Hit-Hit	319	Targ
42	NR	1	NR-Hit	334	Targ
32	NR	1	NR-Hit	306	Targ
31	2	132	Miss-FA	29	Targ
124	1	43	FA-FA	546	Lure
179	1	47	FA-Hit	824	Lure
197	2	107	CR-FA	860	Lure
125	2	93	CR-FA	548	Lure
128	1	74	FA-Hit	550	Lure
106	1	90	FA-Hit	501	Lure
30	2	105	Miss-Hit	297	Targ
135	2	69	CR-FA	579	Lure
28	NR	1	NR-Hit	292	Targ
46	NR	1	NR-Hit	342	Targ
73	1	145	Hit-FA	413	Targ
194	1	29	FA-NR	853	Lure
112	NR	1	NR-Hit	520	Lure
48	NR	1	NR-FA	349	Targ
132	1	142	FA-FA	565	Lure
68	1	106	Hit-Hit	396	Targ
177	1	68	FA-Hit	814	Lure
145	1	6	FA-FA	616	Lure
5	2	73	CR-Hit	1056	Lure
166	1	124	FA-NR	729	Lure
37	1	54	Hit-NR	31	Targ
150	NR	1	NR-NR	654	Lure
10	NR	1	NR-Hit	1148	Lure
81	1	44	Hit-FA	437	Targ
88	1	55	Hit-Hit	452	Targ
198	NR	1	NR-Hit	861	Lure
165	NR	1	NR-Hit	725	Lure
110	2	4	CR-Hit	518	Lure
57	1	2	Hit-Hit	375	Targ
