Stimulus	KeyPress	RT	Behavior	Image	StimType
63	1	136	Hit-Hit-V	388	Targ
178	1	112	Hit-Hit-V	81	Targ
109	1	75	FA-FA-V	514	Lure
101	1	69	FA-FA-V	490	Lure
102	2	160	CR-Hit-V	494	Lure
113	2	163	CR-Hit-V	521	Lure
148	2	153	CR-Hit-V	632	Lure
22	1	22	Hit-Hit-V	20	Targ
15	1	55	Hit-Hit-V	123	Targ
164	1	101	FA-Hit-V	722	Lure
8	1	95	Hit-Hit-V	111	Targ
175	2	167	CR-FA-V	810	Lure
87	1	58	Hit-FA-V	450	Targ
18	1	83	Hit-Hit-V	15	Targ
139	1	103	FA-FA-V	591	Lure
71	1	33	Hit-Hit-V	408	Targ
12	1	57	Hit-Hit-V	11	Targ
189	1	117	FA-FA-V	844	Lure
115	1	29	FA-FA-V	527	Lure
216	1	82	Hit-FA-V	9	Targ
60	1	30	Hit-FA-V	381	Targ
45	1	65	Hit-Hit-V	340	Targ
6	2	32	CR-Hit-V	1088	Lure
184	2	51	CR-Hit-V	835	Lure
99	2	85	CR-Hit-V	482	Lure
92	1	154	Hit-FA-V	458	Targ
76	1	137	Hit-Hit-V	41	Targ
111	2	93	Miss-Hit-V	51	Targ
107	2	39	CR-Hit-V	502	Lure
14	2	124	CR-Hit-V	1227	Lure
187	2	164	Miss-Hit-V	83	Targ
168	2	135	CR-Hit-V	753	Lure
52	1	2	Hit-Hit-V	363	Targ
154	2	94	CR-FA-V	681	Lure
17	2	169	Miss-Hit-V	144	Targ
103	2	68	CR-Hit-V	496	Lure
49	2	97	Miss-FA-V	352	Targ
66	1	134	Hit-Hit-V	391	Targ
190	2	80	CR-Hit-V	845	Lure
3	1	41	FA-Hit-V	1019	Lure
186	2	78	CR-Hit-V	838	Lure
77	1	131	Hit-FA-V	422	Targ
181	1	156	FA-FA-V	830	Lure
41	2	8	Miss-Hit-V	332	Targ
79	2	145	Miss-Hit-V	42	Targ
182	2	109	CR-Hit-V	833	Lure
108	1	108	FA-Hit-V	510	Lure
85	2	88	Miss-Hit-V	444	Targ
121	2	52	CR-Hit-V	541	Lure
104	2	107	CR-Hit-V	499	Lure
196	2	189	CR-FA-V	856	Lure
53	1	201	Hit-Hit-V	364	Targ
133	2	44	CR-Hit-V	571	Lure
167	1	74	FA-FA-V	732	Lure
29	1	14	Hit-Hit-V	293	Targ
157	2	50	Miss-Hit-V	68	Targ
161	1	89	Hit-Hit-V	70	Targ
151	1	105	FA-FA-V	661	Lure
62	1	46	Hit-Hit-V	387	Targ
43	1	87	Hit-Hit-V	336	Targ
147	1	121	FA-Hit-V	620	Lure
155	2	116	CR-FA-V	682	Lure
24	1	91	Hit-Hit-V	232	Targ
82	1	77	Hit-Hit-V	439	Targ
21	1	37	Hit-Hit-V	17	Targ
56	1	35	Hit-Hit-V	373	Targ
2	2	113	CR-Hit-V	1004	Lure
