Stimulus	KeyPress	RT	Behavior	Image	StimType
92	1	79	Hit-FA	458	Targ
188	2	33	CR-Hit	843	Lure
181	1	61	FA-Hit	830	Lure
77	1	144	Hit-Hit	422	Targ
216	1	75	Hit-FA	9	Targ
3	1	17	FA-Hit	1019	Lure
18	1	33	Hit-Hit	15	Targ
148	1	170	FA-FA	632	Lure
35	1	36	Hit-Hit	317	Targ
52	1	28	Hit-FA	363	Targ
97	2	25	CR-Hit	475	Lure
192	1	42	FA-FA	849	Lure
107	2	89	CR-Hit	502	Lure
184	2	85	CR-FA	835	Lure
116	1	94	FA-FA	530	Lure
86	1	32	Hit-Hit	448	Targ
199	1	18	FA-Hit	867	Lure
164	1	109	FA-FA	722	Lure
111	1	78	Hit-FA	51	Targ
153	1	179	FA-Hit	679	Lure
167	1	81	FA-Hit	732	Lure
71	1	190	Hit-FA	408	Targ
66	1	16	Hit-FA	391	Targ
189	2	95	CR-FA	844	Lure
142	1	31	Hit-FA	59	Targ
133	1	38	FA-FA	571	Lure
186	1	169	FA-FA	838	Lure
22	1	55	Hit-FA	20	Targ
152	2	96	CR-Hit	663	Lure
60	2	30	Miss-FA	381	Targ
113	1	32	FA-FA	521	Lure
90	1	19	Hit-FA	454	Targ
56	1	20	Hit-FA	373	Targ
85	1	104	Hit-FA	444	Targ
72	1	121	Hit-NR	412	Targ
119	2	123	Miss-FA	53	Targ
169	1	114	FA-FA	757	Lure
154	1	152	FA-FA	681	Lure
87	1	112	Hit-Hit	450	Targ
141	2	132	CR-Hit	596	Lure
38	1	14	Hit-FA	324	Targ
109	1	150	FA-Hit	514	Lure
59	1	155	Hit-FA	380	Targ
168	2	7	CR-Hit	753	Lure
41	1	35	Hit-Hit	332	Targ
67	1	161	Hit-FA	393	Targ
83	1	154	Hit-FA	441	Targ
53	1	189	Hit-FA	364	Targ
55	1	59	Hit-Hit	369	Targ
158	1	105	FA-Hit	692	Lure
157	1	29	Hit-FA	68	Targ
121	2	103	CR-Hit	541	Lure
151	1	9	FA-FA	661	Lure
15	1	176	Hit-Hit	123	Targ
79	1	172	Hit-FA	42	Targ
187	2	138	Miss-FA	83	Targ
6	2	4	CR-Hit	1088	Lure
62	2	65	Miss-FA	387	Targ
108	2	64	CR-Hit	510	Lure
63	1	119	Hit-FA	388	Targ
98	1	12	FA-Hit	481	Lure
172	1	2	FA-Hit	782	Lure
17	1	74	Hit-FA	144	Targ
147	2	108	CR-Hit	620	Lure
102	1	97	FA-Hit	494	Lure
196	1	145	FA-FA	856	Lure
114	1	10	FA-Hit	526	Lure
29	1	173	Hit-FA	293	Targ
143	1	117	FA-Hit	605	Lure
155	1	162	FA-FA	682	Lure
12	1	188	Hit-FA	11	Targ
104	1	71	FA-Hit	499	Lure
190	1	113	FA-Hit	845	Lure
103	1	106	FA-Hit	496	Lure
139	2	110	CR-Hit	591	Lure
8	1	15	Hit-FA	111	Targ
14	1	80	FA-FA	1227	Lure
70	1	177	Hit-FA	406	Targ
2	1	50	FA-FA	1004	Lure
24	1	115	Hit-Hit	232	Targ
45	1	186	Hit-Hit	340	Targ
101	1	128	FA-Hit	490	Lure
21	1	153	Hit-FA	17	Targ
99	2	135	CR-Hit	482	Lure
49	1	13	Hit-Hit	352	Targ
117	2	131	CR-Hit	535	Lure
178	2	69	Miss-Hit	81	Targ
82	1	23	Hit-FA	439	Targ
76	1	34	Hit-Hit	41	Targ
115	1	82	FA-Hit	527	Lure
50	1	33	Hit-Hit	356	Targ
39	2	101	Miss-FA	32	Targ
74	1	54	Hit-Hit	417	Targ
175	1	58	FA-Hit	810	Lure
43	1	5	Hit-FA	336	Targ
161	1	144	Hit-FA	70	Targ
47	1	49	Hit-FA	344	Targ
182	2	130	CR-Hit	833	Lure
27	1	51	Hit-Hit	24	Targ
44	1	160	Hit-Hit	339	Targ
7	2	68	Miss-FA	110	Targ
124	1	92	FA-Hit	546	Lure
149	1	142	Hit-FA	63	Targ
68	1	93	Hit-FA	396	Targ
10	1	187	FA-Hit	1148	Lure
20	1	37	Hit-FA	177	Targ
160	2	136	CR-Hit	700	Lure
140	1	157	FA-Hit	592	Lure
69	1	92	Hit-FA	401	Targ
159	1	151	FA-Hit	696	Lure
88	1	24	Hit-FA	452	Targ
78	1	151	Hit-Hit	427	Targ
136	2	134	CR-Hit	582	Lure
166	1	185	FA-Hit	729	Lure
16	1	56	Hit-FA	124	Targ
91	1	99	Hit-FA	457	Targ
