Stimulus	KeyPress	RT	Behavior	Image	StimType
188	2	14	CR-Hit	843	Lure
157	1	89	Hit-Hit	68	Targ
39	1	173	Hit-Hit	32	Targ
90	1	149	Hit-Hit	454	Targ
8	1	84	Hit-Hit	111	Targ
153	2	53	CR-Hit	679	Lure
6	2	46	CR-Hit	1088	Lure
142	1	177	Hit-Hit	59	Targ
143	1	16	FA-Hit	605	Lure
50	1	137	Hit-FA	356	Targ
199	1	62	FA-FA	867	Lure
101	1	18	FA-Hit	490	Lure
190	1	147	FA-FA	845	Lure
147	1	19	FA-Hit	620	Lure
139	1	65	FA-FA	591	Lure
21	1	88	Hit-Hit	17	Targ
62	1	8	Hit-FA	387	Targ
35	1	162	Hit-FA	317	Targ
82	1	157	Hit-FA	439	Targ
164	1	170	FA-Hit	722	Lure
85	1	122	Hit-Hit	444	Targ
196	1	3	FA-Hit	856	Lure
41	1	47	Hit-FA	332	Targ
63	1	175	Hit-Hit	388	Targ
60	2	14	Miss-Hit	381	Targ
47	1	46	Hit-Hit	344	Targ
99	2	11	CR-Hit	482	Lure
186	1	178	FA-Hit	838	Lure
14	1	85	FA-Hit	1227	Lure
167	1	67	FA-Hit	732	Lure
115	1	174	FA-Hit	527	Lure
141	2	31	CR-Hit	596	Lure
92	1	171	Hit-FA	458	Targ
117	1	63	FA-FA	535	Lure
104	1	95	FA-Hit	499	Lure
24	1	167	Hit-Hit	232	Targ
67	1	27	Hit-Hit	393	Targ
55	1	7	Hit-Hit	369	Targ
76	1	135	Hit-Hit	41	Targ
107	1	30	FA-Hit	502	Lure
12	1	106	Hit-FA	11	Targ
161	1	161	Hit-Hit	70	Targ
27	2	180	Miss-FA	24	Targ
59	2	168	Miss-Hit	380	Targ
113	2	9	CR-Hit	521	Lure
87	1	164	Hit-Hit	450	Targ
155	1	86	FA-FA	682	Lure
77	1	110	Hit-FA	422	Targ
98	2	32	CR-FA	481	Lure
79	1	40	Hit-Hit	42	Targ
18	2	93	Miss-FA	15	Targ
151	1	79	FA-FA	661	Lure
119	2	148	Miss-Hit	53	Targ
121	1	33	FA-Hit	541	Lure
103	1	108	FA-NR	496	Lure
17	1	112	Hit-Hit	144	Targ
97	1	69	FA-FA	475	Lure
187	2	83	Miss-Hit	83	Targ
158	2	91	CR-Hit	692	Lure
45	1	154	Hit-Hit	340	Targ
86	NR	1	NR-FA	448	Targ
56	1	150	Hit-Hit	373	Targ
175	2	125	CR-Hit	810	Lure
184	2	51	CR-Hit	835	Lure
178	NR	1	NR-Hit	81	Targ
172	1	116	FA-Hit	782	Lure
102	2	71	CR-Hit	494	Lure
83	1	105	Hit-FA	441	Targ
168	2	97	CR-Hit	753	Lure
182	2	42	CR-Hit	833	Lure
2	2	96	CR-FA	1004	Lure
22	1	21	Hit-Hit	20	Targ
3	1	81	FA-Hit	1019	Lure
116	2	80	CR-FA	530	Lure
70	2	156	Miss-Hit	406	Targ
71	1	99	Hit-FA	408	Targ
72	1	176	Hit-Hit	412	Targ
38	1	114	Hit-Hit	324	Targ
44	1	20	Hit-NR	339	Targ
216	1	165	Hit-Hit	9	Targ
114	1	126	FA-FA	526	Lure
181	1	90	FA-Hit	830	Lure
169	2	140	CR-Hit	757	Lure
192	2	48	CR-Hit	849	Lure
154	1	182	FA-FA	681	Lure
111	1	50	Hit-FA	51	Targ
49	1	64	Hit-FA	352	Targ
109	1	181	FA-FA	514	Lure
52	1	155	Hit-Hit	363	Targ
152	2	159	CR-NR	663	Lure
66	1	139	Hit-Hit	391	Targ
43	1	22	Hit-FA	336	Targ
108	2	98	CR-FA	510	Lure
133	2	29	CR-Hit	571	Lure
15	2	59	Miss-Hit	123	Targ
148	1	66	FA-Hit	632	Lure
29	1	153	Hit-Hit	293	Targ
53	1	76	Hit-FA	364	Targ
189	1	124	FA-FA	844	Lure
74	1	87	Hit-FA	417	Targ
166	1	68	FA-FA	729	Lure
127	2	150	Miss-Hit	54	Targ
195	1	163	FA-Hit	854	Lure
46	1	149	Hit-Hit	342	Targ
137	2	102	CR-FA	588	Lure
78	1	26	Hit-Hit	427	Targ
40	2	94	Miss-Hit	331	Targ
93	1	170	Hit-Hit	464	Targ
25	1	59	Hit-Hit	23	Targ
159	2	127	CR-FA	696	Lure
165	1	72	FA-FA	725	Lure
10	1	62	FA-Hit	1148	Lure
23	1	136	Hit-Hit	22	Targ
48	1	52	Hit-NR	349	Targ
37	1	23	Hit-FA	31	Targ
11	2	115	Miss-FA	117	Targ
128	1	5	FA-FA	550	Lure
75	2	92	Miss-Hit	418	Targ
61	2	61	Miss-FA	386	Targ
30	1	2	Hit-Hit	297	Targ
144	1	74	FA-Hit	606	Lure
125	2	25	CR-NR	548	Lure
54	1	44	Hit-Hit	366	Targ
28	1	6	Hit-Hit	292	Targ
88	1	183	Hit-Hit	452	Targ
57	1	43	Hit-Hit	375	Targ
34	1	158	Hit-Hit	315	Targ
176	1	141	FA-Hit	812	Lure
129	1	77	FA-Hit	551	Lure
174	2	55	CR-Hit	797	Lure
180	2	101	CR-Hit	827	Lure
69	1	73	Hit-Hit	401	Targ
84	2	45	Miss-FA	443	Targ
42	1	166	Hit-Hit	334	Targ
89	1	144	Hit-Hit	453	Targ
110	2	9	CR-FA	518	Lure
80	1	152	Hit-FA	431	Targ
173	1	154	FA-FA	786	Lure
156	2	15	CR-FA	684	Lure
130	1	169	Hit-Hit	55	Targ
96	2	179	CR-Hit	474	Lure
185	2	36	CR-FA	837	Lure
4	1	134	FA-FA	1031	Lure
163	1	4	FA-FA	713	Lure
9	1	82	Hit-Hit	112	Targ
197	2	78	CR-Hit	860	Lure
