Stimulus	KeyPress	RT	Behavior	Image	StimType
216	1	125	Hit-FA-S	9	Targ
154	1	60	FA-FA-S	681	Lure
82	1	104	Hit-Hit-S	439	Targ
86	2	167	Miss-Hit-S	448	Targ
172	2	8	CR-Hit-V	782	Lure
151	1	55	FA-FA-S	661	Lure
52	1	154	Hit-Hit-V	363	Targ
184	2	73	CR-Hit-V	835	Lure
161	1	51	Hit-FA-S	70	Targ
169	2	44	CR-Hit-S	757	Lure
3	1	19	FA-FA-S	1019	Lure
111	1	25	Hit-FA-S	51	Targ
74	1	23	Hit-Hit-V	417	Targ
70	1	53	Hit-Hit-V	406	Targ
142	1	36	Hit-FA-S	59	Targ
103	2	117	CR-FA-S	496	Lure
139	2	70	CR-FA-S	591	Lure
153	2	59	CR-Hit-V	679	Lure
38	1	157	Hit-Hit-V	324	Targ
109	1	16	FA-FA-S	514	Lure
175	2	4	CR-Hit-S	810	Lure
133	2	46	CR-Hit-V	571	Lure
39	1	36	Hit-Hit-S	32	Targ
29	1	35	Hit-FA-V	293	Targ
18	2	102	Miss-NR-NR	15	Targ
189	2	105	CR-FA-V	844	Lure
97	2	71	CR-Hit-S	475	Lure
116	2	165	CR-FA-S	530	Lure
92	1	13	Hit-Hit-V	458	Targ
107	2	80	CR-FA-S	502	Lure
155	2	74	CR-FA-S	682	Lure
99	1	149	FA-Hit-V	482	Lure
104	2	11	CR-Hit-V	499	Lure
152	2	81	CR-FA-V	663	Lure
114	1	172	FA-FA-V	526	Lure
14	1	40	FA-FA-S	1227	Lure
49	1	27	Hit-Hit-S	352	Targ
56	1	142	Hit-Hit-V	373	Targ
113	2	64	CR-Hit-S	521	Lure
182	2	31	CR-Hit-V	833	Lure
108	2	114	CR-Hit-V	510	Lure
119	1	38	Hit-Hit-S	53	Targ
117	2	18	CR-Hit-S	535	Lure
24	1	168	Hit-Hit-S	232	Targ
55	2	82	Miss-Hit-S	369	Targ
76	1	164	Hit-Hit-S	41	Targ
8	1	21	Hit-Hit-V	111	Targ
60	1	10	Hit-FA-V	381	Targ
164	1	90	FA-FA-S	722	Lure
21	1	177	Hit-Hit-V	17	Targ
63	1	103	Hit-FA-S	388	Targ
186	2	10	CR-Hit-V	838	Lure
77	1	106	Hit-Hit-S	422	Targ
41	2	3	Miss-Hit-S	332	Targ
59	1	42	Hit-Hit-S	380	Targ
178	2	41	Miss-Hit-V	81	Targ
27	2	18	Miss-Hit-S	24	Targ
168	2	6	CR-Hit-V	753	Lure
167	2	115	CR-Hit-S	732	Lure
188	2	118	CR-Hit-V	843	Lure
147	2	83	CR-Hit-V	620	Lure
158	2	66	CR-Hit-V	692	Lure
143	1	160	FA-Hit-S	605	Lure
121	2	119	CR-FA-S	541	Lure
141	2	24	CR-Hit-V	596	Lure
53	1	156	Hit-Hit-V	364	Targ
67	1	14	Hit-FA-V	393	Targ
83	1	176	Hit-Hit-V	441	Targ
196	2	30	CR-Hit-S	856	Lure
44	2	152	Miss-FA-S	339	Targ
187	1	123	Hit-FA-S	83	Targ
192	1	67	FA-FA-S	849	Lure
43	1	22	Hit-Hit-V	336	Targ
101	2	26	CR-Hit-V	490	Lure
62	1	20	Hit-Hit-S	387	Targ
181	2	85	CR-Hit-V	830	Lure
45	1	58	Hit-Hit-V	340	Targ
47	1	87	Hit-Hit-S	344	Targ
90	1	162	Hit-Hit-S	454	Targ
79	1	171	Hit-Hit-V	42	Targ
85	1	45	Hit-Hit-S	444	Targ
66	1	175	Hit-Hit-V	391	Targ
6	2	174	CR-Hit-S	1088	Lure
15	1	95	Hit-FA-S	123	Targ
190	1	110	FA-FA-S	845	Lure
199	2	88	CR-Hit-V	867	Lure
115	1	169	FA-FA-V	527	Lure
98	1	117	FA-FA-V	481	Lure
12	1	53	Hit-FA-S	11	Targ
157	1	158	Hit-Hit-S	68	Targ
22	1	9	Hit-Hit-V	20	Targ
35	2	133	Miss-FA-S	317	Targ
72	2	20	Miss-Hit-V	412	Targ
87	2	98	Miss-Hit-S	450	Targ
50	1	27	Hit-Hit-S	356	Targ
148	1	45	FA-FA-V	632	Lure
71	1	163	Hit-Hit-V	408	Targ
102	2	91	CR-Hit-V	494	Lure
17	1	161	Hit-FA-S	144	Targ
2	2	76	CR-Hit-V	1004	Lure
25	2	122	Miss-FA-S	23	Targ
146	1	146	Hit-Hit-S	61	Targ
16	1	143	Hit-Hit-S	124	Targ
156	2	65	CR-Hit-V	684	Lure
26	2	113	Miss-FA-S	248	Targ
144	2	2	CR-FA-S	606	Lure
84	1	134	Hit-Hit-V	443	Targ
96	2	69	CR-Hit-V	474	Lure
33	1	179	Hit-FA-S	30	Targ
57	1	137	Hit-Hit-V	375	Targ
162	1	129	FA-FA-V	710	Lure
110	1	153	FA-Hit-S	518	Lure
81	1	75	Hit-Hit-S	437	Targ
93	1	170	Hit-Hit-V	464	Targ
88	1	100	Hit-Hit-S	452	Targ
7	1	140	Hit-Hit-S	110	Targ
65	1	136	Hit-Hit-S	390	Targ
80	1	130	Hit-Hit-S	431	Targ
94	1	48	Hit-Hit-V	467	Targ
124	2	128	CR-FA-S	546	Lure
64	2	141	Miss-Hit-S	38	Targ
150	2	85	CR-FA-S	654	Lure
165	2	116	CR-Hit-V	725	Lure
135	2	139	CR-FA-V	579	Lure
11	1	93	Hit-FA-V	117	Targ
28	1	54	Hit-Hit-S	292	Targ
36	1	173	Hit-Hit-V	319	Targ
68	1	12	Hit-FA-S	396	Targ
112	1	56	FA-FA-V	520	Lure
163	1	147	FA-FA-V	713	Lure
