Stimulus	KeyPress	RT	Behavior	Image	StimType
188	NR	1	NR-FA	843	Lure
35	2	67	Miss-FA	317	Targ
161	NR	1	NR-Hit	70	Targ
98	1	140	FA-FA	481	Lure
82	1	131	Hit-Hit	439	Targ
8	1	5	Hit-Hit	111	Targ
15	2	86	Miss-FA	123	Targ
153	2	104	CR-FA	679	Lure
172	2	25	CR-Hit	782	Lure
141	2	125	CR-Hit	596	Lure
184	2	82	CR-Hit	835	Lure
43	1	84	Hit-NR	336	Targ
168	2	27	CR-NR	753	Lure
39	1	88	Hit-FA	32	Targ
2	2	71	CR-Hit	1004	Lure
189	2	89	CR-FA	844	Lure
111	1	102	Hit-Hit	51	Targ
147	1	126	FA-Hit	620	Lure
24	1	70	Hit-Hit	232	Targ
178	2	6	Miss-Hit	81	Targ
148	2	37	CR-NR	632	Lure
192	1	132	FA-Hit	849	Lure
158	1	30	FA-FA	692	Lure
67	1	10	Hit-NR	393	Targ
6	1	37	FA-FA	1088	Lure
216	1	173	Hit-Hit	9	Targ
3	1	93	FA-Hit	1019	Lure
115	2	87	CR-FA	527	Lure
50	2	46	Miss-Hit	356	Targ
151	2	130	CR-NR	661	Lure
85	1	110	Hit-FA	444	Targ
121	2	3	CR-FA	541	Lure
167	2	176	CR-Hit	732	Lure
87	2	119	Miss-NR	450	Targ
79	1	128	Hit-Hit	42	Targ
72	2	19	Miss-Hit	412	Targ
186	2	60	CR-NR	838	Lure
175	1	54	FA-FA	810	Lure
38	1	105	Hit-Hit	324	Targ
155	2	2	CR-NR	682	Lure
49	1	62	Hit-Hit	352	Targ
59	2	45	Miss-FA	380	Targ
199	1	38	FA-FA	867	Lure
53	1	161	Hit-NR	364	Targ
22	1	157	Hit-Hit	20	Targ
104	2	164	CR-FA	499	Lure
139	1	153	FA-Hit	591	Lure
90	1	68	Hit-FA	454	Targ
71	1	58	Hit-NR	408	Targ
117	2	158	CR-FA	535	Lure
77	1	107	Hit-FA	422	Targ
66	1	75	Hit-Hit	391	Targ
102	2	18	CR-FA	494	Lure
70	2	31	Miss-NR	406	Targ
101	2	115	CR-Hit	490	Lure
41	2	139	Miss-FA	332	Targ
114	1	59	FA-FA	526	Lure
119	2	94	Miss-Hit	53	Targ
152	2	191	CR-FA	663	Lure
83	1	113	Hit-FA	441	Targ
29	1	160	Hit-NR	293	Targ
164	2	9	CR-FA	722	Lure
45	1	57	Hit-Hit	340	Targ
190	1	121	FA-FA	845	Lure
62	2	32	Miss-NR	387	Targ
97	2	17	CR-NR	475	Lure
108	1	111	FA-FA	510	Lure
47	2	190	Miss-NR	344	Targ
55	2	100	Miss-Hit	369	Targ
182	2	7	CR-FA	833	Lure
154	1	17	FA-FA	681	Lure
44	2	165	Miss-FA	339	Targ
169	2	146	CR-FA	757	Lure
76	2	50	Miss-Hit	41	Targ
86	1	166	Hit-NR	448	Targ
60	1	49	Hit-FA	381	Targ
17	1	72	Hit-FA	144	Targ
14	1	141	FA-FA	1227	Lure
116	2	24	CR-FA	530	Lure
181	1	12	FA-Hit	830	Lure
196	2	13	CR-FA	856	Lure
142	1	142	Hit-Hit	59	Targ
103	2	4	CR-Hit	496	Lure
187	1	189	Hit-Hit	83	Targ
157	1	64	Hit-Hit	68	Targ
12	1	77	Hit-FA	11	Targ
133	1	108	FA-Hit	571	Lure
143	1	116	FA-FA	605	Lure
27	2	6	Miss-FA	24	Targ
56	1	59	Hit-Hit	373	Targ
52	2	96	Miss-NR	363	Targ
18	2	137	Miss-Hit	15	Targ
74	2	26	Miss-Hit	417	Targ
113	1	106	FA-FA	521	Lure
109	1	83	FA-FA	514	Lure
92	2	23	Miss-NR	458	Targ
63	1	52	Hit-Hit	388	Targ
107	2	147	CR-Hit	502	Lure
99	2	85	CR-NR	482	Lure
21	2	149	Miss-Hit	17	Targ
73	1	114	Hit-Hit	413	Targ
30	2	47	Miss-Hit	297	Targ
180	2	36	CR-Hit	827	Lure
193	2	129	CR-FA	851	Lure
42	1	74	Hit-FA	334	Targ
54	2	78	Miss-Hit	366	Targ
134	1	51	FA-NR	576	Lure
23	1	186	Hit-Hit	22	Targ
122	1	120	FA-FA	544	Lure
135	2	143	CR-FA	579	Lure
69	2	33	Miss-Hit	401	Targ
58	2	92	Miss-Hit	378	Targ
95	1	69	Hit-Hit	469	Targ
123	1	109	FA-Hit	545	Lure
75	1	42	Hit-Hit	418	Targ
145	1	126	FA-FA	616	Lure
96	2	81	CR-FA	474	Lure
132	1	188	FA-FA	565	Lure
13	1	151	Hit-FA	121	Targ
33	1	29	Hit-Hit	30	Targ
144	2	15	CR-NR	606	Lure
129	2	185	CR-Hit	551	Lure
118	2	14	CR-Hit	539	Lure
127	1	57	Hit-Hit	54	Targ
170	1	105	FA-Hit	764	Lure
191	2	181	CR-FA	847	Lure
26	NR	1	NR-FA	248	Targ
9	2	90	Miss-Hit	112	Targ
198	2	65	CR-Hit	861	Lure
140	2	55	CR-FA	592	Lure
136	2	66	CR-FA	582	Lure
28	1	95	Hit-NR	292	Targ
36	1	48	Hit-Hit	319	Targ
19	NR	1	NR-FA	166	Targ
81	2	97	Miss-Hit	437	Targ
165	2	134	CR-Hit	725	Lure
150	2	122	CR-NR	654	Lure
125	NR	1	NR-NR	548	Lure
174	2	150	CR-FA	797	Lure
137	2	21	CR-Hit	588	Lure
100	2	169	CR-FA	488	Lure
68	2	167	Miss-NR	396	Targ
149	1	73	Hit-Hit	63	Targ
7	NR	1	NR-FA	110	Targ
64	1	76	Hit-FA	38	Targ
177	1	98	FA-Hit	814	Lure
40	2	16	Miss-Hit	331	Targ
48	1	152	Hit-Hit	349	Targ
4	1	135	FA-FA	1031	Lure
126	1	177	FA-FA	549	Lure
1	2	192	CR-Hit	1000	Lure
65	NR	1	NR-FA	390	Targ
110	1	118	FA-Hit	518	Lure
31	2	99	Miss-FA	29	Targ
160	NR	1	NR-FA	700	Lure
25	1	127	Hit-NR	23	Targ
105	1	34	Hit-NR	49	Targ
34	2	187	Miss-Hit	315	Targ
88	2	91	Miss-Hit	452	Targ
5	2	80	CR-Hit	1056	Lure
112	1	138	FA-FA	520	Lure
51	1	44	Hit-FA	35	Targ
130	NR	1	NR-Hit	55	Targ
93	NR	1	NR-Hit	464	Targ
194	NR	1	NR-Hit	853	Lure
138	NR	1	NR-NR	589	Lure
94	NR	1	NR-FA	467	Targ
173	1	39	FA-FA	786	Lure
146	1	178	Hit-FA	61	Targ
171	1	11	FA-FA	775	Lure
124	2	79	CR-FA	546	Lure
80	1	168	Hit-NR	431	Targ
89	1	53	Hit-Hit	453	Targ
57	1	172	Hit-Hit	375	Targ
179	2	174	CR-Hit	824	Lure
163	2	170	CR-FA	713	Lure
131	2	101	CR-NR	563	Lure
32	1	20	Hit-Hit	306	Targ
20	2	155	Miss-Hit	177	Targ
183	2	35	CR-Hit	834	Lure
10	1	56	FA-FA	1148	Lure
46	1	163	Hit-Hit	342	Targ
91	2	28	Miss-Hit	457	Targ
16	2	41	Miss-Hit	124	Targ
120	2	144	CR-Hit	540	Lure
166	1	183	FA-FA	729	Lure
195	1	40	FA-Hit	854	Lure
185	2	22	CR-Hit	837	Lure
197	2	38	CR-Hit	860	Lure
37	1	123	Hit-Hit	31	Targ
61	2	184	Miss-Hit	386	Targ
11	2	175	Miss-FA	117	Targ
84	2	117	Miss-Hit	443	Targ
159	2	19	CR-Hit	696	Lure
176	2	145	CR-NR	812	Lure
162	2	103	CR-NR	710	Lure
78	2	63	Miss-FA	427	Targ
128	NR	1	NR-Hit	550	Lure
156	1	43	FA-Hit	684	Lure
106	2	61	CR-FA	501	Lure
