Stimulus	KeyPress	RT	Behavior	Conf	Image	VerySome
453a.jpg	1	1680	Hit	1	453	V
514a.jpg	4	2530	FA	4	514	V
17b.jpg	3	2325	Hit	2	17	S
340b.jpg	4	1182	Hit	1	340	V
520a.jpg	4	1673	FA	4	520	V
324a.jpg	1	1596	Hit	1	324	V
20b.jpg	4	1079	Hit	1	20	V
32b.jpg	1	2022	FA	4	32	V
319a.jpg	1	2117	Hit	1	319	V
845b.jpg	2	2405	FA	3	845	S
427a.jpg	3	1364	FA	3	427	S
375b.jpg	4	1222	Hit	1	375	V
352b.jpg	3	2194	Hit	2	352	S
112a.jpg	1	1629	Hit	1	112	V
464a.jpg	2	3425	Hit	2	464	S
306a.jpg	1	1649	Hit	1	306	V
488a.jpg	3	3493	FA	3	488	S
1088b.jpg	1	1520	FA	4	1088	V
732a.jpg	1	1951	Hit	1	732	V
388b.jpg	3	1672	Hit	2	388	S
860b.jpg	3	1915	Hit	2	860	S
117a.jpg	3	1943	FA	3	117	S
443a.jpg	2	2707	Hit	2	443	S
22b.jpg	4	1412	Hit	1	22	V
854b.jpg	4	2338	Hit	1	854	V
412a.jpg	2	1908	Hit	2	412	S
540a.jpg	2	1532	Hit	2	540	S
1148b.jpg	1	2710	FA	4	1148	V
441a.jpg	3	2447	FA	3	441	S
546b.jpg	1	1910	FA	4	546	V
834b.jpg	4	2020	Hit	1	834	V
616b.jpg	2	4345	FA	3	616	S
1019b.jpg	3	3203	Hit	2	1019	S
35b.jpg	1	2933	FA	4	35	V
297a.jpg	1	1505	Hit	1	297	V
373b.jpg	3	2512	Hit	2	373	S
439a.jpg	1	2267	Hit	1	439	V
123a.jpg	3	2687	FA	3	123	S
53b.jpg	3	1465	Hit	2	53	S
378b.jpg	3	1920	Hit	2	378	S
315a.jpg	1	1446	Hit	1	315	V
551b.jpg	4	2236	Hit	1	551	V
844b.jpg	1	1462	FA	4	844	V
592b.jpg	1	967	FA	4	592	V
474a.jpg	3	2452	FA	3	474	S
867b.jpg	1	1596	FA	4	867	V
51b.jpg	3	1908	Hit	2	51	S
63b.jpg	4	1649	Hit	1	63	V
1056b.jpg	4	4122	Hit	1	1056	V
713a.jpg	4	1280	FA	4	713	V
588b.jpg	4	1838	Hit	1	588	V
469a.jpg	2	2962	Hit	2	469	S
29b.jpg	1	2501	FA	4	29	V
144a.jpg	4	1813	FA	4	144	V
496a.jpg	1	1805	Hit	1	496	V
83a.jpg	1	1359	Hit	1	83	V
824a.jpg	1	1839	Hit	1	824	V
59b.jpg	3	4067	Hit	2	59	S
61b.jpg	2	1975	FA	3	61	S
535a.jpg	3	1869	FA	3	535	S
544a.jpg	4	1299	FA	4	544	V
417a.jpg	2	2481	Hit	2	417	S
843b.jpg	1	2167	FA	4	843	V
849b.jpg	3	1633	Hit	2	849	S
810a.jpg	4	3101	FA	4	810	V
838b.jpg	NR	1771	NR	NR	838	NR
1000b.jpg	4	2875	Hit	1	1000	V
41b.jpg	3	2517	Hit	2	41	S
579b.jpg	2	2249	FA	3	579	S
692a.jpg	4	2942	FA	4	692	V
499a.jpg	4	1083	FA	4	499	V
681a.jpg	3	1663	FA	3	681	S
248a.jpg	4	2506	FA	4	248	V
454a.jpg	4	2225	FA	4	454	V
696a.jpg	2	3826	Hit	2	696	S
54b.jpg	4	4097	Hit	1	54	V
452a.jpg	1	1788	Hit	1	452	V
847b.jpg	2	1749	FA	3	847	S
548b.jpg	NR	0	NR	NR	548	NR
814a.jpg	2	1939	Hit	2	814	S
339b.jpg	1	2692	FA	4	339	V
582b.jpg	2	1514	FA	3	582	S
757a.jpg	3	1743	FA	3	757	S
518a.jpg	1	2948	Hit	1	518	V
571b.jpg	3	2654	Hit	2	571	S
363b.jpg	NR	0	NR	NR	363	NR
851b.jpg	2	1905	FA	3	851	S
679b.jpg	1	1480	FA	4	679	V
364b.jpg	NR	0	NR	NR	364	NR
521a.jpg	3	2057	FA	3	521	S
401a.jpg	2	2472	Hit	2	401	S
549b.jpg	1	2390	FA	4	549	V
764a.jpg	2	4334	Hit	2	764	S
786a.jpg	3	1353	FA	3	786	S
349b.jpg	3	1363	Hit	2	349	S
550b.jpg	3	2311	Hit	2	550	S
861b.jpg	3	1177	Hit	2	861	S
596b.jpg	4	2279	Hit	1	596	V
526a.jpg	3	2168	FA	3	526	S
9b.jpg	3	1815	Hit	2	9	S
457a.jpg	2	2522	Hit	2	457	S
110a.jpg	4	2078	FA	4	110	V
530a.jpg	4	1527	FA	4	530	V
475a.jpg	NR	0	NR	NR	475	NR
334b.jpg	2	2205	FA	3	334	S
366b.jpg	4	1735	Hit	1	366	V
494a.jpg	4	2012	FA	4	494	V
431a.jpg	NR	0	NR	NR	431	NR
797a.jpg	4	2683	FA	4	797	V
467a.jpg	4	1390	FA	4	467	V
81a.jpg	2	1541	Hit	2	81	S
331a.jpg	2	1852	Hit	2	331	S
563b.jpg	NR	0	NR	NR	563	NR
317a.jpg	3	1345	FA	3	317	S
177a.jpg	2	2372	Hit	2	177	S
42b.jpg	4	3562	Hit	1	42	V
369b.jpg	4	1243	Hit	1	369	V
812a.jpg	NR	0	NR	NR	812	NR
830a.jpg	2	1339	Hit	2	830	S
775a.jpg	4	1410	FA	4	775	V
292a.jpg	NR	0	NR	NR	292	NR
393b.jpg	NR	4291	NR	NR	393	NR
827a.jpg	1	1789	Hit	1	827	V
232a.jpg	2	1593	Hit	2	232	S
482a.jpg	NR	4200	NR	NR	482	NR
1227b.jpg	1	2129	FA	4	1227	V
565b.jpg	2	3591	FA	3	565	S
545a.jpg	1	2504	Hit	1	545	V
833b.jpg	2	2826	FA	3	833	S
70a.jpg	2	3501	Hit	2	70	S
856b.jpg	1	1720	FA	4	856	V
387b.jpg	NR	0	NR	NR	387	NR
576b.jpg	NR	4332	NR	NR	576	NR
663b.jpg	1	1331	FA	4	663	V
408a.jpg	NR	4249	NR	NR	408	NR
700a.jpg	3	1563	FA	3	700	S
448a.jpg	NR	0	NR	NR	448	NR
293a.jpg	NR	4456	NR	NR	293	NR
722a.jpg	3	1817	FA	3	722	S
632b.jpg	NR	0	NR	NR	632	NR
391b.jpg	3	3606	Hit	2	391	S
684a.jpg	2	1161	Hit	2	684	S
406a.jpg	NR	0	NR	NR	406	NR
381b.jpg	2	2751	FA	3	381	S
418a.jpg	2	1213	Hit	2	418	S
124a.jpg	1	1288	Hit	1	124	V
111a.jpg	1	2089	Hit	1	111	V
166a.jpg	3	2716	FA	3	166	S
386b.jpg	4	2241	Hit	1	386	V
344b.jpg	NR	0	NR	NR	344	NR
31b.jpg	3	2564	Hit	2	31	S
