Stimulus	KeyPress	RT	Behavior	Conf	Image	VerySome
32b.jpg	1	82	Hit-FA	4	32	V
17b.jpg	4	25	Hit-Hit	1	17	V
375b.jpg	4	49	Miss-Hit	1	375	V
514a.jpg	1	96	CR-Hit	1	514	V
1088b.jpg	4	72	CR-Hit	1	1088	V
388b.jpg	2	83	Miss-FA	3	388	S
540a.jpg	3	84	CR-FA	3	540	S
315a.jpg	4	59	Hit-FA	4	315	V
453a.jpg	1	14	Miss-Hit	1	453	V
35b.jpg	1	137	Hit-FA	4	35	V
117a.jpg	2	90	Hit-Hit	2	117	S
352b.jpg	3	133	Hit-Hit	2	352	S
427a.jpg	4	89	Hit-FA	4	427	V
324a.jpg	3	127	Hit-FA	3	324	S
732a.jpg	2	128	FA-Hit	2	732	S
340b.jpg	3	146	Hit-Hit	2	340	S
319a.jpg	1	43	Hit-Hit	1	319	V
378b.jpg	3	130	Hit-Hit	2	378	S
551b.jpg	3	131	CR-Hit	2	551	S
616b.jpg	3	116	CR-Hit	2	616	S
112a.jpg	4	136	Hit-FA	4	112	V
22b.jpg	4	81	Hit-Hit	1	22	V
844b.jpg	1	95	CR-FA	4	844	V
123a.jpg	3	147	Hit-FA	3	123	S
474a.jpg	2	141	NR-Hit	2	474	S
441a.jpg	3	31	Miss-FA	3	441	S
51b.jpg	2	126	Hit-FA	3	51	S
546b.jpg	2	107	CR-FA	3	546	S
1019b.jpg	2	149	CR-FA	3	1019	S
867b.jpg	3	113	FA-Hit	2	867	S
713a.jpg	2	121	CR-Hit	2	713	S
860b.jpg	2	91	CR-FA	3	860	S
845b.jpg	3	132	FA-Hit	2	845	S
373b.jpg	4	111	Hit-Hit	1	373	V
520a.jpg	1	26	CR-Hit	1	520	V
834b.jpg	1	62	FA-FA	4	834	V
412a.jpg	1	22	Miss-Hit	1	412	V
1056b.jpg	4	100	CR-Hit	1	1056	V
1148b.jpg	3	112	CR-Hit	2	1148	S
63b.jpg	3	66	Hit-Hit	2	63	S
592b.jpg	2	18	FA-FA	3	592	S
464a.jpg	1	51	Hit-Hit	1	464	V
488a.jpg	4	30	NR-FA	4	488	V
297a.jpg	1	23	Hit-Hit	1	297	V
306a.jpg	1	8	Hit-Hit	1	306	V
20b.jpg	4	129	Hit-Hit	1	20	V
854b.jpg	NR	1	FA-NR	NR	854	NR
439a.jpg	NR	1	Hit-NR	NR	439	NR
53b.jpg	1	19	Miss-FA	4	53	V
443a.jpg	3	37	NR-FA	3	443	S
9b.jpg	1	104	Hit-FA	4	9	V
596b.jpg	4	114	CR-Hit	1	596	V
849b.jpg	4	106	CR-Hit	1	849	V
61b.jpg	4	121	Miss-Hit	1	61	V
401a.jpg	3	92	Miss-FA	3	401	S
786a.jpg	2	53	CR-Hit	2	786	S
679b.jpg	3	127	CR-Hit	2	679	S
469a.jpg	2	13	Hit-Hit	2	469	S
83a.jpg	2	24	Miss-Hit	2	83	S
843b.jpg	2	136	FA-FA	3	843	S
582b.jpg	3	143	CR-Hit	2	582	S
757a.jpg	3	156	CR-FA	3	757	S
579b.jpg	2	97	CR-FA	3	579	S
544a.jpg	3	160	FA-FA	3	544	S
29b.jpg	1	58	Hit-FA	4	29	V
454a.jpg	1	61	Miss-Hit	1	454	V
692a.jpg	2	77	FA-Hit	2	692	S
339b.jpg	NR	1	Hit-NR	NR	339	NR
810a.jpg	1	6	FA-Hit	1	810	V
417a.jpg	2	94	Hit-Hit	2	417	S
861b.jpg	2	152	FA-FA	3	861	S
535a.jpg	2	48	CR-Hit	2	535	S
550b.jpg	3	89	CR-Hit	2	550	S
248a.jpg	4	68	Miss-FA	4	248	V
814a.jpg	NR	1	FA-NR	NR	814	NR
349b.jpg	3	4	Hit-Hit	2	349	S
496a.jpg	2	67	FA-Hit	2	496	S
764a.jpg	3	144	FA-FA	3	764	S
526a.jpg	3	155	CR-FA	3	526	S
548b.jpg	NR	1	CR-NR	NR	548	NR
59b.jpg	2	145	Miss-FA	3	59	S
549b.jpg	1	12	FA-FA	4	549	V
