Stimulus	KeyPress	RT	Behavior	Image	StimType
35	1	48	Hit-Hit	317	Targ
113	1	47	FA-Hit	521	Lure
83	1	179	Hit-Hit	441	Targ
74	2	180	Miss-Hit	417	Targ
56	1	177	Hit-NR	373	Targ
8	1	3	Hit-Hit	111	Targ
154	2	96	CR-FA	681	Lure
59	1	27	Hit-Hit	380	Targ
44	2	106	Miss-Hit	339	Targ
115	1	154	FA-FA	527	Lure
77	2	113	Miss-FA	422	Targ
60	2	146	Miss-FA	381	Targ
72	1	137	Hit-Hit	412	Targ
153	2	61	CR-Hit	679	Lure
43	1	37	Hit-Hit	336	Targ
97	2	119	CR-Hit	475	Lure
111	1	185	Hit-FA	51	Targ
27	1	123	Hit-FA	24	Targ
38	1	49	Hit-Hit	324	Targ
133	2	55	CR-FA	571	Lure
196	2	104	CR-FA	856	Lure
101	1	139	FA-FA	490	Lure
147	1	65	FA-Hit	620	Lure
178	1	107	Hit-Hit	81	Targ
24	2	8	Miss-Hit	232	Targ
152	1	97	FA-FA	663	Lure
109	2	59	CR-FA	514	Lure
45	1	14	Hit-Hit	340	Targ
108	2	53	CR-Hit	510	Lure
167	2	118	CR-FA	732	Lure
76	1	179	Hit-NR	41	Targ
121	1	126	FA-Hit	541	Lure
151	1	138	FA-FA	661	Lure
12	1	7	Hit-FA	11	Targ
190	2	136	CR-FA	845	Lure
86	1	105	Hit-Hit	448	Targ
141	2	35	CR-Hit	596	Lure
172	1	116	FA-Hit	782	Lure
82	2	52	Miss-Hit	439	Targ
99	2	124	CR-Hit	482	Lure
103	2	159	CR-Hit	496	Lure
49	1	41	Hit-Hit	352	Targ
102	1	51	FA-Hit	494	Lure
107	2	12	CR-Hit	502	Lure
41	2	70	Miss-Hit	332	Targ
53	1	162	Hit-FA	364	Targ
188	1	99	FA-FA	843	Lure
62	1	33	Hit-FA	387	Targ
148	2	171	CR-FA	632	Lure
79	1	29	Hit-FA	42	Targ
85	2	115	Miss-FA	444	Targ
15	1	111	Hit-Hit	123	Targ
181	1	153	FA-FA	830	Lure
14	2	152	CR-Hit	1227	Lure
189	2	54	CR-Hit	844	Lure
184	2	76	CR-Hit	835	Lure
187	1	140	Hit-Hit	83	Targ
117	1	43	FA-FA	535	Lure
18	1	149	Hit-FA	15	Targ
114	2	174	CR-FA	526	Lure
216	1	114	Hit-FA	9	Targ
116	2	128	CR-FA	530	Lure
70	1	38	Hit-FA	406	Targ
66	1	79	Hit-Hit	391	Targ
29	1	56	Hit-FA	293	Targ
50	2	129	Miss-Hit	356	Targ
164	1	127	FA-NR	722	Lure
67	2	168	Miss-FA	393	Targ
3	2	143	CR-Hit	1019	Lure
186	1	158	FA-FA	838	Lure
87	2	21	Miss-FA	450	Targ
182	2	187	CR-Hit	833	Lure
21	1	186	Hit-Hit	17	Targ
139	2	91	CR-Hit	591	Lure
155	2	94	CR-FA	682	Lure
168	2	173	CR-FA	753	Lure
22	1	102	Hit-Hit	20	Targ
192	1	151	FA-Hit	849	Lure
161	1	71	Hit-Hit	70	Targ
143	1	80	FA-FA	605	Lure
90	NR	1	NR-Hit	454	Targ
17	2	144	Miss-FA	144	Targ
119	1	114	Hit-FA	53	Targ
199	1	67	FA-Hit	867	Lure
71	1	64	Hit-Hit	408	Targ
142	1	131	Hit-Hit	59	Targ
47	2	39	Miss-NR	344	Targ
63	2	167	Miss-FA	388	Targ
6	2	31	CR-Hit	1088	Lure
92	2	85	Miss-Hit	458	Targ
104	2	141	CR-FA	499	Lure
2	1	19	FA-Hit	1004	Lure
158	NR	1	NR-Hit	692	Lure
98	1	44	FA-FA	481	Lure
157	2	62	Miss-FA	68	Targ
52	1	68	Hit-Hit	363	Targ
55	1	170	Hit-Hit	369	Targ
175	1	40	FA-FA	810	Lure
169	2	133	CR-FA	757	Lure
39	2	145	Miss-FA	32	Targ
4	1	82	FA-FA	1031	Lure
134	2	77	CR-Hit	576	Lure
64	1	42	Hit-FA	38	Targ
80	1	72	Hit-Hit	431	Targ
75	1	32	Hit-FA	418	Targ
170	2	34	CR-FA	764	Lure
131	1	160	FA-FA	563	Lure
