Stimulus	KeyPress	RT	Behavior	Image	StimType
188	NR	1	NR-FA-S	843	Lure
155	1	30	FA-Hit-V	682	Lure
182	2	79	CR-Hit-V	833	Lure
27	1	4	Hit-Hit-V	24	Targ
24	1	40	Hit-Hit-V	232	Targ
164	2	66	CR-FA-V	722	Lure
148	1	90	FA-FA-V	632	Lure
66	1	115	Hit-Hit-V	391	Targ
152	2	86	CR-FA-V	663	Lure
44	1	94	Hit-FA-S	339	Targ
2	1	45	FA-Hit-S	1004	Lure
107	2	67	CR-Hit-V	502	Lure
82	1	65	Hit-Hit-V	439	Targ
14	1	37	FA-FA-S	1227	Lure
169	2	47	CR-Hit-V	757	Lure
116	1	103	FA-FA-V	530	Lure
86	1	48	Hit-Hit-V	448	Targ
56	1	12	Hit-FA-V	373	Targ
167	1	160	FA-FA-V	732	Lure
8	2	46	Miss-Hit-V	111	Targ
141	2	81	CR-Hit-V	596	Lure
12	1	161	Hit-NR-NR	11	Targ
79	1	8	Hit-Hit-S	42	Targ
115	1	27	FA-Hit-V	527	Lure
151	2	173	CR-Hit-V	661	Lure
172	2	61	CR-Hit-V	782	Lure
153	1	11	FA-FA-V	679	Lure
184	2	102	CR-Hit-V	835	Lure
71	1	32	Hit-Hit-V	408	Targ
196	2	25	CR-FA-V	856	Lure
98	2	84	CR-Hit-V	481	Lure
18	1	58	Hit-Hit-S	15	Targ
99	2	79	CR-Hit-V	482	Lure
143	NR	1	NR-Hit-V	605	Lure
67	2	76	Miss-Hit-V	393	Targ
114	1	167	FA-Hit-V	526	Lure
117	1	54	FA-Hit-S	535	Lure
190	2	125	CR-FA-S	845	Lure
199	2	144	CR-Hit-V	867	Lure
52	1	10	Hit-Hit-V	363	Targ
22	1	59	Hit-Hit-V	20	Targ
59	1	33	Hit-FA-V	380	Targ
97	1	70	FA-Hit-S	475	Lure
187	2	128	Miss-Hit-V	83	Targ
113	1	6	FA-FA-V	521	Lure
158	1	173	FA-Hit-V	692	Lure
139	2	74	CR-Hit-S	591	Lure
63	2	20	Miss-FA-V	388	Targ
47	1	73	Hit-FA-V	344	Targ
43	2	146	Miss-FA-V	336	Targ
189	1	142	FA-Hit-V	844	Lure
41	2	99	Miss-Hit-V	332	Targ
216	1	22	Hit-FA-V	9	Targ
35	1	43	Hit-FA-V	317	Targ
111	2	63	Miss-FA-V	51	Targ
109	2	163	CR-FA-V	514	Lure
119	1	19	Hit-Hit-V	53	Targ
108	2	156	CR-Hit-S	510	Lure
53	2	72	Miss-Hit-S	364	Targ
60	2	123	Miss-FA-S	381	Targ
192	2	69	CR-Hit-V	849	Lure
15	1	177	Hit-Hit-V	123	Targ
49	1	87	Hit-Hit-V	352	Targ
29	1	3	Hit-Hit-V	293	Targ
104	2	176	CR-Hit-V	499	Lure
87	1	129	Hit-FA-S	450	Targ
175	1	159	FA-Hit-V	810	Lure
74	1	132	Hit-Hit-V	417	Targ
142	1	83	Hit-Hit-V	59	Targ
101	1	15	FA-FA-V	490	Lure
55	1	106	Hit-Hit-V	369	Targ
103	2	165	CR-Hit-V	496	Lure
70	2	98	Miss-Hit-V	406	Targ
154	2	71	CR-Hit-V	681	Lure
147	1	166	FA-Hit-V	620	Lure
83	1	150	Hit-Hit-S	441	Targ
45	2	115	Miss-Hit-S	340	Targ
72	1	57	Hit-Hit-V	412	Targ
39	2	97	Miss-Hit-V	32	Targ
90	1	162	Hit-Hit-V	454	Targ
62	1	42	Hit-FA-V	387	Targ
181	1	155	FA-Hit-V	830	Lure
85	2	80	Miss-FA-S	444	Targ
50	2	46	Miss-FA-S	356	Targ
3	1	179	FA-Hit-V	1019	Lure
92	1	96	Hit-FA-S	458	Targ
121	1	110	FA-Hit-V	541	Lure
133	2	177	CR-Hit-V	571	Lure
168	2	105	CR-Hit-V	753	Lure
77	2	92	Miss-Hit-V	422	Targ
17	1	101	Hit-Hit-S	144	Targ
76	1	39	Hit-Hit-V	41	Targ
157	2	85	Miss-Hit-V	68	Targ
161	2	154	Miss-Hit-S	70	Targ
178	1	93	Hit-Hit-V	81	Targ
102	2	138	CR-Hit-V	494	Lure
186	1	56	FA-Hit-V	838	Lure
