Stimulus	KeyPress	RT	Behavior	Image	StimType
81	1	31	Hit-Hit	437	Targ
26	2	112	Miss-FA	248	Targ
165	2	24	CR-FA	725	Lure
91	1	86	Hit-Hit	457	Targ
160	1	98	FA-Hit	700	Lure
140	2	108	CR-FA	592	Lure
65	NR	1	NR-Hit	390	Targ
177	2	137	CR-Hit	814	Lure
48	1	160	Hit-Hit	349	Targ
135	NR	1	NR-FA	579	Lure
122	1	137	FA-Hit	544	Lure
